311
4
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3	Risk_C4
35	36	6.8	14727	11782.22	23564.448	14727
35	270	6	12995	10396.08	20792.16	12995
35	310	9.4	20358	16287.19	32574.384	20358
36	35	6.8	14727	11782.22	23564.448	14727
36	259	15.8	34220	27376.34	54752.688	34220
37	20	4.3	14348	11478.94	22957.872	14348
37	38	1.75	5839	4671.66	9343.32	5839
38	37	1.75	5839	4671.66	9343.32	5839
38	39	0.3	1001	800.86	1601.712	1001
38	195	1.25	2383	1906.8	3813.6	2383
39	38	0.3	1001	800.86	1601.712	1001
39	40	1.1	3670	2936.47	5872.944	3670
40	39	1.1	3670	2936.47	5872.944	3670
40	41	0.4	1334	1067.81	2135.616	1334
41	40	0.4	1334	1067.81	2135.616	1334
41	42	1.7	5672	4538.18	9076.368	5672
41	225	1.9	8151	6521.26	13042.512	8151
42	41	1.7	5672	4538.18	9076.368	5672
42	43	4.5	19306	15445.08	30890.16	19306
43	42	4.5	19306	15445.08	30890.16	19306
43	44	14	60064	48051.36	96102.72	60064
44	43	14	60064	48051.36	96102.72	60064
44	45	5	21451	17161.2	34322.4	21451
45	44	5	21451	17161.2	34322.4	21451
45	46	7.5	32177	25741.8	51483.6	32177
45	231	13.6	58348	46678.46	93356.928	58348
46	28	14.9	32271	25816.93	51633.864	32271
46	45	7.5	32177	25741.8	51483.6	32177
46	47	10.7	23174	18539.68	37079.352	23174
46	232	19.1	81944	65555.78	131111.568	81944
47	29	19.2	41584	33267.46	66534.912	41584
47	46	10.7	23174	18539.68	37079.352	23174
47	48	7.9	17110	13688.17	27376.344	17110
48	47	7.9	17110	13688.17	27376.344	17110
48	49	36.6	33252	26602.34	53204.688	33252
48	266	4	8663	6930.72	13861.44	8663
48	278	3	2725	2180.52	4361.04	2725
49	48	36.6	33252	26602.34	53204.688	33252
49	56	36.1	32798	26238.92	52477.848	32798
49	65	38.1	64181	51345.08	102690.168	64181
49	275	20.1	18261	14609.48	29218.968	18261
50	195	1	1906	1525.44	3050.88	1906
50	196	0.5	953	762.72	1525.44	953
51	61	1.5	5005	4004.28	8008.56	5005
51	68	5.35	22953	18362.48	36724.968	22953
52	53	8.4	36038	28830.82	57661.632	36038
52	71	5.5	23596	18877.32	37754.64	23596
53	52	8.4	36038	28830.82	57661.632	36038
53	54	5.5	4997	3997.62	7995.24	4997
53	62	5.8	19354	15483.22	30966.432	19354
53	285	12.6	11447	9158.18	18316.368	11447
54	53	5.5	4997	3997.62	7995.24	4997
54	55	15.5	14082	11266.02	22532.04	14082
54	233	18.1	16444	13155.8	26311.608	16444
54	277	35	31799	25439.4	50878.8	31799
55	54	15.5	14082	11266.02	22532.04	14082
55	56	21.2	19261	15409.01	30818.016	19261
55	277	19.3	17535	14028.01	28056.024	17535
55	281	20	18171	14536.8	29073.6	18171
56	49	36.1	32798	26238.92	52477.848	32798
56	55	21.2	19261	15409.01	30818.016	19261
56	57	9.5	8631	6904.98	13809.96	8631
56	275	34.1	30981	24785.24	49570.488	30981
56	279	40	36342	29073.6	58147.2	36342
56	281	35	31799	25439.4	50878.8	31799
56	282	34	30890	24712.56	49425.12	30890
57	56	9.5	8631	6904.98	13809.96	8631
57	58	14.5	13173	10539.18	21078.36	13173
57	279	32	29073	23258.88	46517.76	29073
58	57	14.5	13173	10539.18	21078.36	13173
58	59	44.4	40339	32271.7	64543.392	40339
58	309	35.6	32344	25875.5	51751.008	32344
59	58	44.4	40339	32271.7	64543.392	40339
59	309	64.4	58510	46808.5	93616.992	58510
60	61	4.5	15016	12012.84	24025.68	15016
60	196	0.85	1620	1296.62	2593.248	1620
61	51	1.5	5005	4004.28	8008.56	5005
61	60	4.5	15016	12012.84	24025.68	15016
61	62	13.7	45715	36572.42	73144.848	45715
62	53	5.8	19354	15483.22	30966.432	19354
62	61	13.7	45715	36572.42	73144.848	45715
62	63	4	13347	10678.08	21356.16	13347
62	231	1	4290	3432.24	6864.48	4290
63	62	4	13347	10678.08	21356.16	13347
63	64	28.7	20280	16224.68	32449.368	20280
63	86	32.4	61780	49424.26	98848.512	61780
64	63	28.7	20280	16224.68	32449.368	20280
64	65	9.7	16340	13072.11	26144.216	16340
64	278	2	4331	3465.36	6930.72	4331
65	49	38.1	64181	51345.08	102690.168	64181
65	64	9.7	16340	13072.11	26144.216	16340
65	66	11.8	19877	15902.15	31804.304	19877
65	265	2	4331	3465.36	6930.72	4331
66	65	11.8	19877	15902.15	31804.304	19877
66	67	28.1	47335	37868.68	75737.368	47335
66	263	1	2165	1732.68	3465.36	2165
67	66	28.1	47335	37868.68	75737.368	47335
67	308	2	4331	3465.36	6930.72	4331
68	51	5.35	22953	18362.48	36724.968	22953
68	194	1.75	7508	6006.42	12012.84	7508
69	70	2.65	11369	9095.44	18190.872	11369
69	194	4.15	17804	14243.8	28487.592	17804
69	197	1.3	5577	4461.91	8923.824	5577
70	69	2.65	11369	9095.44	18190.872	11369
70	252	15	64354	51483.6	102967.2	64354
71	52	5.5	23596	18877.32	37754.64	23596
71	252	7.5	32177	25741.8	51483.6	32177
72	73	1.7	7293	5834.81	11669.616	7293
72	85	1.65	3146	2516.98	5033.952	3146
72	197	1.9	8151	6521.26	13042.512	8151
73	72	1.7	7293	5834.81	11669.616	7293
73	234	12.3	52770	42216.55	84433.104	52770
74	75	4	17161	13728.96	27457.92	17161
74	234	5.2	22309	17847.65	35695.296	22309
75	74	4	17161	13728.96	27457.92	17161
75	76	6	25741	20593.44	41186.88	25741
75	87	4.8	20593	16474.75	32949.504	20593
76	75	6	25741	20593.44	41186.88	25741
76	77	8.2	35180	28144.37	56288.736	35180
76	237	6	25741	20593.44	41186.88	25741
77	76	8.2	35180	28144.37	56288.736	35180
77	78	8.2	35180	28144.37	56288.736	35180
77	236	16.7	71648	57318.41	114636.816	71648
78	77	8.2	35180	28144.37	56288.736	35180
78	79	3	12870	10296.72	20593.44	12870
79	78	3	12870	10296.72	20593.44	12870
79	80	11.8	50625	40500.43	81000.864	50625
79	89	1	4290	3432.24	6864.48	4290
79	238	8.2	35180	28144.37	56288.736	35180
80	79	11.8	50625	40500.43	81000.864	50625
80	81	5	21451	17161.2	34322.4	21451
80	239	18.5	79370	63496.44	126992.88	79370
81	80	5	21451	17161.2	34322.4	21451
81	82	7.2	30890	24712.13	49424.256	30890
82	81	7.2	30890	24712.13	49424.256	30890
82	83	16.2	69502	55602.29	111204.576	69502
82	90	2.7	11583	9267.05	18534.096	11583
83	82	16.2	69502	55602.29	111204.576	69502
83	84	32.2	138147	110518.13	221036.256	138147
83	91	1	4290	3432.24	6864.48	4290
84	83	32.2	138147	110518.13	221036.256	138147
84	93	4	17161	13728.96	27457.92	17161
84	290	60.9	145904	116723.38	233446.752	145904
84	295	58.5	250982	200786.04	401572.08	250982
85	72	1.65	3146	2516.98	5033.952	3146
85	96	1.3	2478	1983.07	3966.144	2478
86	63	32.4	61780	49424.26	98848.512	61780
86	87	2	6673	5339.04	10678.08	6673
86	126	13.5	25741	20593.44	41186.88	25741
87	75	4.8	20593	16474.75	32949.504	20593
87	86	2	6673	5339.04	10678.08	6673
87	88	11.9	39709	31767.29	63534.576	39709
87	97	3.15	13514	10811.56	21623.112	13514
87	200	2.5	10725	8580.6	17161.2	10725
88	87	11.9	39709	31767.29	63534.576	39709
88	89	9	30032	24025.68	48051.36	30032
88	237	1	4290	3432.24	6864.48	4290
89	79	1	4290	3432.24	6864.48	4290
89	88	9	30032	24025.68	48051.36	30032
89	90	17.5	58395	46716.6	93433.2	58395
89	277	20.3	18443	14754.85	29509.704	18443
90	82	2.7	11583	9267.05	18534.096	11583
90	89	17.5	58395	46716.6	93433.2	58395
90	91	10.4	34703	27763.01	55526.016	34703
90	280	13	11811	9448.92	18897.84	11811
91	83	1	4290	3432.24	6864.48	4290
91	90	10.4	34703	27763.01	55526.016	34703
91	92	11.2	37373	29898.62	59797.248	37373
92	91	11.2	37373	29898.62	59797.248	37373
92	93	15.3	51054	40843.66	81687.312	51054
92	94	3	2119	1695.96	3391.92	2119
93	84	4	17161	13728.96	27457.92	17161
93	92	15.3	51054	40843.66	81687.312	51054
94	92	3	2119	1695.96	3391.92	2119
94	95	25.2	17807	14246.06	28492.128	17807
94	276	5	4542	3634.2	7268.4	4542
95	94	25.2	17807	14246.06	28492.128	17807
95	309	2	1817	1453.68	2907.36	1817
96	85	1.3	2478	1983.07	3966.144	2478
96	98	1.85	3527	2822.06	5644.128	3527
97	87	3.15	13514	10811.56	21623.112	13514
97	99	3.75	16088	12870.9	25741.8	16088
98	96	1.85	3527	2822.06	5644.128	3527
98	201	0.4	762	610.18	1220.352	762
99	97	3.75	16088	12870.9	25741.8	16088
99	100	10	42903	34322.4	68644.8	42903
99	199	2.65	11369	9095.44	18190.872	11369
100	99	10	42903	34322.4	68644.8	42903
100	101	8.3	35609	28487.59	56975.184	35609
101	100	8.3	35609	28487.59	56975.184	35609
101	102	5.8	24883	19906.99	39813.984	24883
101	242	8.2	35180	28144.37	56288.736	35180
102	101	5.8	24883	19906.99	39813.984	24883
102	103	7.6	32606	26085.02	52170.048	32606
102	112	7.5	32177	25741.8	51483.6	32177
102	241	15.1	64783	51826.82	103653.648	64783
103	102	7.6	32606	26085.02	52170.048	32606
103	104	15	35937	28749.6	57499.2	35937
103	240	5.5	23596	18877.32	37754.64	23596
104	103	15	35937	28749.6	57499.2	35937
104	105	19	45520	36416.16	72832.32	45520
104	296	14.5	34739	27791.28	55582.56	34739
105	104	19	45520	36416.16	72832.32	45520
105	106	10.5	25155	20124.72	40249.44	25155
105	295	12	28749	22999.68	45999.36	28749
105	296	15	35937	28749.6	57499.2	35937
106	105	10.5	25155	20124.72	40249.44	25155
106	107	6	14374	11499.84	22999.68	14374
106	295	18	43124	34499.52	68999.04	43124
107	106	6	14374	11499.84	22999.68	14374
107	115	14	33541	26832.96	53665.92	33541
108	122	1.4	4671	3737.33	7474.656	4671
108	201	2.9	9677	7741.61	15483.216	9677
109	110	1.6	6864	5491.58	10983.168	6864
109	198	3	12870	10296.72	20593.44	12870
109	199	0.45	1930	1544.51	3089.016	1930
110	109	1.6	6864	5491.58	10983.168	6864
110	111	9	38612	30890.16	61780.32	38612
111	110	9	38612	30890.16	61780.32	38612
111	112	12.4	53199	42559.78	85119.552	53199
111	125	2	8580	6864.48	13728.96	8580
111	242	2	8580	6864.48	13728.96	8580
112	102	7.5	32177	25741.8	51483.6	32177
112	111	12.4	53199	42559.78	85119.552	53199
112	113	9	38612	30890.16	61780.32	38612
112	127	1	4290	3432.24	6864.48	4290
113	112	9	38612	30890.16	61780.32	38612
113	114	12	28749	22999.68	45999.36	28749
113	128	1	4290	3432.24	6864.48	4290
113	244	8.5	36467	29174.04	58348.08	36467
113	303	41	274628	219702.6	439405.2	274628
114	113	12	28749	22999.68	45999.36	28749
114	115	22.5	53905	43124.4	86248.8	53905
114	129	1	4290	3432.24	6864.48	4290
114	296	2	4791	3833.28	7666.56	4791
115	107	14	33541	26832.96	53665.92	33541
115	114	22.5	53905	43124.4	86248.8	53905
115	116	23.5	56301	45041.04	90082.08	56301
115	130	4.2	10062	8049.89	16099.776	10062
115	290	29.5	70676	56540.88	113081.76	70676
116	115	23.5	56301	45041.04	90082.08	56301
116	117	6.5	15572	12458.16	24916.32	15572
116	131	1	2395	1916.64	3833.28	2395
117	116	6.5	15572	12458.16	24916.32	15572
117	118	9.2	22041	17633.09	35266.176	22041
117	291	7.4	17728	14183.14	28366.272	17728
118	117	9.2	22041	17633.09	35266.176	22041
118	119	3.8	9104	7283.23	14566.464	9104
118	288	3.2	7666	6133.25	12266.496	7666
119	118	3.8	9104	7283.23	14566.464	9104
119	120	17	40728	32582.88	65165.76	40728
119	132	2	4791	3833.28	7666.56	4791
120	119	17	40728	32582.88	65165.76	40728
120	121	9.8	23478	18783.07	37566.144	23478
120	133	5	11979	9583.2	19166.4	11979
120	289	17.2	41207	32966.21	65932.416	41207
121	120	9.8	23478	18783.07	37566.144	23478
121	134	2	4791	3833.28	7666.56	4791
122	108	1.4	4671	3737.33	7474.656	4671
122	123	3.4	11345	9076.37	18152.736	11345
122	202	0.6	1144	915.26	1830.528	1144
123	122	3.4	11345	9076.37	18152.736	11345
123	124	6.6	22023	17618.83	35237.664	22023
124	123	6.6	22023	17618.83	35237.664	22023
124	125	4.9	16350	13080.65	26161.296	16350
124	136	2.7	11583	9267.05	18534.096	11583
124	198	2	8580	6864.48	13728.96	8580
125	111	2	8580	6864.48	13728.96	8580
125	124	4.9	16350	13080.65	26161.296	16350
125	126	4.5	15016	12012.84	24025.68	15016
126	86	13.5	25741	20593.44	41186.88	25741
126	125	4.5	15016	12012.84	24025.68	15016
126	127	10	19068	15254.4	30508.8	19068
127	112	1	4290	3432.24	6864.48	4290
127	126	10	19068	15254.4	30508.8	19068
127	128	6	11440	9152.64	18305.28	11440
127	244	3	12870	10296.72	20593.44	12870
128	113	1	4290	3432.24	6864.48	4290
128	127	6	11440	9152.64	18305.28	11440
128	129	10.5	11180	8944.32	17888.64	11180
129	114	1	4290	3432.24	6864.48	4290
129	128	10.5	11180	8944.32	17888.64	11180
129	130	22.5	23958	19166.4	38332.8	23958
130	115	4.2	10062	8049.89	16099.776	10062
130	129	22.5	23958	19166.4	38332.8	23958
130	131	19.5	20763	16610.88	33221.76	20763
130	294	9.8	23478	18783.07	37566.144	23478
131	116	1	2395	1916.64	3833.28	2395
131	130	19.5	20763	16610.88	33221.76	20763
131	132	15	15972	12777.6	25555.2	15972
131	292	2.2	5270	4216.61	8433.216	5270
132	119	2	4791	3833.28	7666.56	4791
132	131	15	15972	12777.6	25555.2	15972
132	133	11.3	12032	9625.79	19251.584	12032
133	120	5	11979	9583.2	19166.4	11979
133	132	11.3	12032	9625.79	19251.584	12032
133	134	9	9583	7666.56	15333.12	9583
133	287	8	19166	15333.12	30666.24	19166
134	121	2	4791	3833.28	7666.56	4791
134	133	9	9583	7666.56	15333.12	9583
135	202	1.1	3670	2936.47	5872.944	3670
135	203	2	6673	5339.04	10678.08	6673
136	124	2.7	11583	9267.05	18534.096	11583
136	243	3	12870	10296.72	20593.44	12870
137	138	0.6	2002	1601.71	3203.424	2002
137	150	0.5	1668	1334.76	2669.52	1668
137	203	1.2	4004	3203.42	6406.848	4004
138	137	0.6	2002	1601.71	3203.424	2002
138	139	1.6	5339	4271.23	8542.464	5339
139	138	1.6	5339	4271.23	8542.464	5339
139	140	8	26695	21356.16	42712.32	26695
140	139	8	26695	21356.16	42712.32	26695
140	141	7.2	30890	24712.13	49424.256	30890
140	245	6	25741	20593.44	41186.88	25741
140	246	4	17161	13728.96	27457.92	17161
141	140	7.2	30890	24712.13	49424.256	30890
141	142	7.2	30890	24712.13	49424.256	30890
142	141	7.2	30890	24712.13	49424.256	30890
142	143	13.6	91096	72876.96	145753.92	91096
142	244	14.7	63067	50453.93	100907.856	63067
143	142	13.6	91096	72876.96	145753.92	91096
143	144	12	80379	64303.2	128606.4	80379
143	155	18	120568	96454.8	192909.6	120568
143	172	9.4	62963	50370.84	100741.68	62963
143	307	10	66982	53586	107172	66982
144	143	12	80379	64303.2	128606.4	80379
144	145	14.7	98464	78771.42	157542.84	98464
144	304	6	40189	32151.6	64303.2	40189
144	306	7.2	48227	38581.92	77163.84	48227
145	144	14.7	98464	78771.42	157542.84	98464
145	146	14.7	98464	78771.42	157542.84	98464
145	304	9.8	65642	52514.28	105028.56	65642
145	305	5.2	34830	27864.72	55729.44	34830
146	145	14.7	98464	78771.42	157542.84	98464
146	147	14.6	97794	78235.56	156471.12	97794
146	175	5	33491	26793	53586	33491
146	302	9.5	63633	50906.7	101813.4	63633
147	146	14.6	97794	78235.56	156471.12	97794
147	148	37	247835	198268.2	396536.4	247835
147	175	19	127266	101813.4	203626.8	127266
147	301	9.2	61623	49299.12	98598.24	61623
147	302	20.8	139323	111458.88	222917.76	139323
148	147	37	247835	198268.2	396536.4	247835
148	149	6.3	42198	33759.18	67518.36	42198
148	297	8.6	57604	46083.96	92167.92	57604
149	148	6.3	42198	33759.18	67518.36	42198
149	287	21.6	144682	115745.76	231491.52	144682
150	137	0.5	1668	1334.76	2669.52	1668
150	151	2.25	7508	6006.42	12012.84	7508
151	150	2.25	7508	6006.42	12012.84	7508
151	152	2.35	10082	8065.76	16131.528	10082
151	156	4.6	8771	7017.02	14034.048	8771
152	151	2.35	10082	8065.76	16131.528	10082
152	153	3.25	13943	11154.78	22309.56	13943
153	152	3.25	13943	11154.78	22309.56	13943
153	154	5	21451	17161.2	34322.4	21451
154	153	5	21451	17161.2	34322.4	21451
154	155	12.4	53199	42559.78	85119.552	53199
154	157	5	21451	17161.2	34322.4	21451
154	246	3.8	16303	13042.51	26085.024	16303
155	143	18	120568	96454.8	192909.6	120568
155	154	12.4	53199	42559.78	85119.552	53199
155	170	7.3	48897	39117.78	78235.56	48897
155	246	6	25741	20593.44	41186.88	25741
156	151	4.6	8771	7017.02	14034.048	8771
156	160	2.25	4290	3432.24	6864.48	4290
157	154	5	21451	17161.2	34322.4	21451
157	167	1	4290	3432.24	6864.48	4290
157	168	5	21451	17161.2	34322.4	21451
158	167	1	4290	3432.24	6864.48	4290
158	251	2.5	10725	8580.6	17161.2	10725
159	168	4.6	19735	15788.3	31576.608	19735
159	249	7.8	33464	26771.47	53542.944	33464
160	156	2.25	4290	3432.24	6864.48	4290
160	161	0.6	2002	1601.71	3203.424	2002
160	176	0.8	2669	2135.62	4271.232	2669
161	160	0.6	2002	1601.71	3203.424	2002
161	162	0.8	2669	2135.62	4271.232	2669
162	161	0.8	2669	2135.62	4271.232	2669
162	163	1.3	4337	3470.38	6940.752	4337
163	162	1.3	4337	3470.38	6940.752	4337
163	164	5.15	17185	13748.03	27496.056	17185
164	163	5.15	17185	13748.03	27496.056	17185
164	165	2.75	9176	7341.18	14682.36	9176
164	204	3	12870	10296.72	20593.44	12870
165	164	2.75	9176	7341.18	14682.36	9176
165	166	4.5	15016	12012.84	24025.68	15016
166	165	4.5	15016	12012.84	24025.68	15016
166	167	2.7	9009	7207.7	14415.408	9009
167	157	1	4290	3432.24	6864.48	4290
167	158	1	4290	3432.24	6864.48	4290
167	166	2.7	9009	7207.7	14415.408	9009
167	168	5	16684	13347.6	26695.2	16684
168	157	5	21451	17161.2	34322.4	21451
168	159	4.6	19735	15788.3	31576.608	19735
168	167	5	16684	13347.6	26695.2	16684
168	169	4.2	21880	17504.76	35009.52	21880
169	168	4.2	21880	17504.76	35009.52	21880
169	170	6.2	32300	25840.36	51680.72	32300
170	155	7.3	48897	39117.78	78235.56	48897
170	169	6.2	32300	25840.36	51680.72	32300
170	171	14.5	75541	60433.1	120866.2	75541
170	248	15.6	104492	83594.16	167188.32	104492
171	170	14.5	75541	60433.1	120866.2	75541
171	172	1.5	7814	6251.7	12503.4	7814
171	247	13	87077	69661.8	139323.6	87077
172	143	9.4	62963	50370.84	100741.68	62963
172	171	1.5	7814	6251.7	12503.4	7814
172	173	6.2	32300	25840.36	51680.72	32300
173	172	6.2	32300	25840.36	51680.72	32300
173	174	5	33491	26793	53586	33491
173	247	18.5	123917	99134.1	198268.2	123917
173	304	3.8	25453	20362.68	40725.36	25453
174	173	5	33491	26793	53586	33491
174	175	20.4	136644	109315.44	218630.88	136644
174	304	2.5	16745	13396.5	26793	16745
175	146	5	33491	26793	53586	33491
175	147	19	127266	101813.4	203626.8	127266
175	174	20.4	136644	109315.44	218630.88	136644
176	160	0.8	2669	2135.62	4271.232	2669
176	178	2.2	7341	5872.94	11745.888	7341
177	205	1.3	4337	3470.38	6940.752	4337
177	250	15	64354	51483.6	102967.2	64354
178	176	2.2	7341	5872.94	11745.888	7341
178	182	2.9	9677	7741.61	15483.216	9677
179	180	1.55	5172	4137.76	8275.512	5172
179	207	2.8	12012	9610.27	19220.544	12012
180	179	1.55	5172	4137.76	8275.512	5172
180	211	1.75	5839	4671.66	9343.32	5839
181	182	2.2	7341	5872.94	11745.888	7341
181	189	1.5	6435	5148.36	10296.72	6435
182	178	2.9	9677	7741.61	15483.216	9677
182	181	2.2	7341	5872.94	11745.888	7341
182	183	6.7	22357	17885.78	35771.568	22357
183	182	6.7	22357	17885.78	35771.568	22357
183	184	5	16684	13347.6	26695.2	16684
184	183	5	16684	13347.6	26695.2	16684
184	213	1.1	3670	2936.47	5872.944	3670
185	7	1	4290	3432.24	6864.48	4290
186	9	2	8580	6864.48	13728.96	8580
186	228	16	68644	54915.84	109831.68	68644
187	10	1	4290	3432.24	6864.48	4290
187	226	22	94386	75509.28	151018.56	94386
188	12	4	17161	13728.96	27457.92	17161
189	181	1.5	6435	5148.36	10296.72	6435
189	190	1.7	7293	5834.81	11669.616	7293
190	189	1.7	7293	5834.81	11669.616	7293
190	193	2	8580	6864.48	13728.96	8580
191	209	0.4	1334	1067.81	2135.616	1334
191	213	0.7	2335	1868.66	3737.328	2335
192	208	0.35	1501	1201.28	2402.568	1501
192	212	0.45	1930	1544.51	3089.016	1930
193	190	2	8580	6864.48	13728.96	8580
193	220	2.75	11798	9438.66	18877.32	11798
194	68	1.75	7508	6006.42	12012.84	7508
194	69	4.15	17804	14243.8	28487.592	17804
195	38	1.25	2383	1906.8	3813.6	2383
195	50	1	1906	1525.44	3050.88	1906
196	50	0.5	953	762.72	1525.44	953
196	60	0.85	1620	1296.62	2593.248	1620
197	69	1.3	5577	4461.91	8923.824	5577
197	72	1.9	8151	6521.26	13042.512	8151
198	109	3	12870	10296.72	20593.44	12870
198	124	2	8580	6864.48	13728.96	8580
199	99	2.65	11369	9095.44	18190.872	11369
199	109	0.45	1930	1544.51	3089.016	1930
200	87	2.5	10725	8580.6	17161.2	10725
201	98	0.4	762	610.18	1220.352	762
201	108	2.9	9677	7741.61	15483.216	9677
202	122	0.6	1144	915.26	1830.528	1144
202	135	1.1	3670	2936.47	5872.944	3670
203	135	2	6673	5339.04	10678.08	6673
203	137	1.2	4004	3203.42	6406.848	4004
204	164	3	12870	10296.72	20593.44	12870
204	251	8.5	36467	29174.04	58348.08	36467
205	177	1.3	4337	3470.38	6940.752	4337
205	206	0.9	3861	3089.02	6178.032	3861
206	205	0.9	3861	3089.02	6178.032	3861
206	207	1.1	4719	3775.46	7550.928	4719
207	179	2.8	12012	9610.27	19220.544	12012
207	206	1.1	4719	3775.46	7550.928	4719
208	192	0.35	1501	1201.28	2402.568	1501
208	209	1.9	8151	6521.26	13042.512	8151
209	191	0.4	1334	1067.81	2135.616	1334
209	208	1.9	8151	6521.26	13042.512	8151
209	210	1.6	5339	4271.23	8542.464	5339
210	209	1.6	5339	4271.23	8542.464	5339
210	211	1	3336	2669.52	5339.04	3336
211	180	1.75	5839	4671.66	9343.32	5839
211	210	1	3336	2669.52	5339.04	3336
212	192	0.45	1930	1544.51	3089.016	1930
212	214	0.9	3861	3089.02	6178.032	3861
213	184	1.1	3670	2936.47	5872.944	3670
213	191	0.7	2335	1868.66	3737.328	2335
214	212	0.9	3861	3089.02	6178.032	3861
214	215	0.9	3861	3089.02	6178.032	3861
215	214	0.9	3861	3089.02	6178.032	3861
215	216	6.9	29603	23682.46	47364.912	29603
