311
3
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3
33	34	10	21658	17326.80	34653.6
33	260	16.7	36169	28935.76	57871.512
34	33	10	21658	17326.80	34653.6
34	35	15	32487	25990.20	51980.4
34	260	10.3	22308	17846.60	35693.208
34	270	12	25990	20792.16	41584.32
34	272	10	21658	17326.80	34653.6
35	34	15	32487	25990.20	51980.4
35	36	6.8	14727	11782.22	23564.448
35	270	6	12995	10396.08	20792.16
35	310	9.4	20358	16287.19	32574.384
36	35	6.8	14727	11782.22	23564.448
36	259	15.8	34220	27376.34	54752.688
37	20	4.3	14348	11478.94	22957.872
37	38	1.75	5839	4671.66	9343.32
38	37	1.75	5839	4671.66	9343.32
38	39	0.3	1001	800.86	1601.712
38	195	1.25	2383	1906.80	3813.6
39	38	0.3	1001	800.86	1601.712
39	40	1.1	3670	2936.47	5872.944
40	39	1.1	3670	2936.47	5872.944
40	41	0.4	1334	1067.81	2135.616
41	40	0.4	1334	1067.81	2135.616
41	42	1.7	5672	4538.18	9076.368
41	225	1.9	8151	6521.26	13042.512
42	41	1.7	5672	4538.18	9076.368
42	43	4.5	19306	15445.08	30890.16
43	42	4.5	19306	15445.08	30890.16
43	44	14	60064	48051.36	96102.72
44	43	14	60064	48051.36	96102.72
44	45	5	21451	17161.20	34322.4
45	44	5	21451	17161.20	34322.4
45	46	7.5	32177	25741.80	51483.6
45	231	13.6	58348	46678.46	93356.928
46	28	14.9	32271	25816.93	51633.864
46	45	7.5	32177	25741.80	51483.6
46	47	10.7	23174	18539.68	37079.352
46	232	19.1	81944	65555.78	131111.568
47	29	19.2	41584	33267.46	66534.912
47	46	10.7	23174	18539.68	37079.352
47	48	7.9	17110	13688.17	27376.344
48	47	7.9	17110	13688.17	27376.344
48	49	36.6	33252	26602.34	53204.688
48	266	4	8663	6930.72	13861.44
48	278	3	2725	2180.52	4361.04
49	48	36.6	33252	26602.34	53204.688
49	56	36.1	32798	26238.92	52477.848
49	65	38.1	64181	51345.08	102690.168
49	275	20.1	18261	14609.48	29218.968
50	195	1	1906	1525.44	3050.88
50	196	0.5	953	762.72	1525.44
51	61	1.5	5005	4004.28	8008.56
51	68	5.35	22953	18362.48	36724.968
52	53	8.4	36038	28830.82	57661.632
52	71	5.5	23596	18877.32	37754.64
53	52	8.4	36038	28830.82	57661.632
53	54	5.5	4997	3997.62	7995.24
53	62	5.8	19354	15483.22	30966.432
53	285	12.6	11447	9158.18	18316.368
54	53	5.5	4997	3997.62	7995.24
54	55	15.5	14082	11266.02	22532.04
54	233	18.1	16444	13155.80	26311.608
54	277	35	31799	25439.40	50878.8
55	54	15.5	14082	11266.02	22532.04
55	56	21.2	19261	15409.01	30818.016
55	277	19.3	17535	14028.01	28056.024
55	281	20	18171	14536.80	29073.6
56	49	36.1	32798	26238.92	52477.848
56	55	21.2	19261	15409.01	30818.016
56	57	9.5	8631	6904.98	13809.96
56	275	34.1	30981	24785.24	49570.488
56	279	40	36342	29073.60	58147.2
56	281	35	31799	25439.40	50878.8
56	282	34	30890	24712.56	49425.12
57	56	9.5	8631	6904.98	13809.96
57	58	14.5	13173	10539.18	21078.36
57	279	32	29073	23258.88	46517.76
58	57	14.5	13173	10539.18	21078.36
58	59	44.4	40339	32271.70	64543.392
58	309	35.6	32344	25875.50	51751.008
59	58	44.4	40339	32271.70	64543.392
59	309	64.4	58510	46808.50	93616.992
60	61	4.5	15016	12012.84	24025.68
60	196	0.85	1620	1296.62	2593.248
61	51	1.5	5005	4004.28	8008.56
61	60	4.5	15016	12012.84	24025.68
61	62	13.7	45715	36572.42	73144.848
62	53	5.8	19354	15483.22	30966.432
62	61	13.7	45715	36572.42	73144.848
62	63	4	13347	10678.08	21356.16
62	231	1	4290	3432.24	6864.48
63	62	4	13347	10678.08	21356.16
63	64	28.7	20280	16224.68	32449.368
63	86	32.4	61780	49424.26	98848.512
64	63	28.7	20280	16224.68	32449.368
64	65	9.7	16340	13072.11	26144.216
64	278	2	4331	3465.36	6930.72
65	49	38.1	64181	51345.08	102690.168
65	64	9.7	16340	13072.11	26144.216
65	66	11.8	19877	15902.15	31804.304
65	265	2	4331	3465.36	6930.72
66	65	11.8	19877	15902.15	31804.304
66	67	28.1	47335	37868.68	75737.368
66	263	1	2165	1732.68	3465.36
67	66	28.1	47335	37868.68	75737.368
67	308	2	4331	3465.36	6930.72
68	51	5.35	22953	18362.48	36724.968
68	194	1.75	7508	6006.42	12012.84
69	70	2.65	11369	9095.44	18190.872
69	194	4.15	17804	14243.80	28487.592
69	197	1.3	5577	4461.91	8923.824
70	69	2.65	11369	9095.44	18190.872
70	252	15	64354	51483.60	102967.2
71	52	5.5	23596	18877.32	37754.64
71	252	7.5	32177	25741.80	51483.6
72	73	1.7	7293	5834.81	11669.616
72	85	1.65	3146	2516.98	5033.952
72	197	1.9	8151	6521.26	13042.512
73	72	1.7	7293	5834.81	11669.616
73	234	12.3	52770	42216.55	84433.104
74	75	4	17161	13728.96	27457.92
74	234	5.2	22309	17847.65	35695.296
75	74	4	17161	13728.96	27457.92
75	76	6	25741	20593.44	41186.88
75	87	4.8	20593	16474.75	32949.504
76	75	6	25741	20593.44	41186.88
76	77	8.2	35180	28144.37	56288.736
76	237	6	25741	20593.44	41186.88
77	76	8.2	35180	28144.37	56288.736
77	78	8.2	35180	28144.37	56288.736
77	236	16.7	71648	57318.41	114636.816
78	77	8.2	35180	28144.37	56288.736
78	79	3	12870	10296.72	20593.44
79	78	3	12870	10296.72	20593.44
79	80	11.8	50625	40500.43	81000.864
79	89	1	4290	3432.24	6864.48
79	238	8.2	35180	28144.37	56288.736
80	79	11.8	50625	40500.43	81000.864
80	81	5	21451	17161.20	34322.4
80	239	18.5	79370	63496.44	126992.88
81	80	5	21451	17161.20	34322.4
81	82	7.2	30890	24712.13	49424.256
82	81	7.2	30890	24712.13	49424.256
82	83	16.2	69502	55602.29	111204.576
82	90	2.7	11583	9267.05	18534.096
83	82	16.2	69502	55602.29	111204.576
83	84	32.2	138147	110518.13	221036.256
83	91	1	4290	3432.24	6864.48
84	83	32.2	138147	110518.13	221036.256
84	93	4	17161	13728.96	27457.92
84	290	60.9	145904	116723.38	233446.752
84	295	58.5	250982	200786.04	401572.08
85	72	1.65	3146	2516.98	5033.952
85	96	1.3	2478	1983.07	3966.144
86	63	32.4	61780	49424.26	98848.512
86	87	2	6673	5339.04	10678.08
86	126	13.5	25741	20593.44	41186.88
87	75	4.8	20593	16474.75	32949.504
87	86	2	6673	5339.04	10678.08
87	88	11.9	39709	31767.29	63534.576
87	97	3.15	13514	10811.56	21623.112
87	200	2.5	10725	8580.60	17161.2
88	87	11.9	39709	31767.29	63534.576
88	89	9	30032	24025.68	48051.36
88	237	1	4290	3432.24	6864.48
89	79	1	4290	3432.24	6864.48
89	88	9	30032	24025.68	48051.36
89	90	17.5	58395	46716.60	93433.2
89	277	20.3	18443	14754.85	29509.704
90	82	2.7	11583	9267.05	18534.096
90	89	17.5	58395	46716.60	93433.2
90	91	10.4	34703	27763.01	55526.016
90	280	13	11811	9448.92	18897.84
91	83	1	4290	3432.24	6864.48
91	90	10.4	34703	27763.01	55526.016
91	92	11.2	37373	29898.62	59797.248
92	91	11.2	37373	29898.62	59797.248
92	93	15.3	51054	40843.66	81687.312
92	94	3	2119	1695.96	3391.92
93	84	4	17161	13728.96	27457.92
93	92	15.3	51054	40843.66	81687.312
94	92	3	2119	1695.96	3391.92
94	95	25.2	17807	14246.06	28492.128
94	276	5	4542	3634.20	7268.4
95	94	25.2	17807	14246.06	28492.128
95	309	2	1817	1453.68	2907.36
96	85	1.3	2478	1983.07	3966.144
96	98	1.85	3527	2822.06	5644.128
97	87	3.15	13514	10811.56	21623.112
97	99	3.75	16088	12870.90	25741.8
98	96	1.85	3527	2822.06	5644.128
98	201	0.4	762	610.18	1220.352
99	97	3.75	16088	12870.90	25741.8
99	100	10	42903	34322.40	68644.8
99	199	2.65	11369	9095.44	18190.872
100	99	10	42903	34322.40	68644.8
100	101	8.3	35609	28487.59	56975.184
101	100	8.3	35609	28487.59	56975.184
101	102	5.8	24883	19906.99	39813.984
101	242	8.2	35180	28144.37	56288.736
102	101	5.8	24883	19906.99	39813.984
102	103	7.6	32606	26085.02	52170.048
102	112	7.5	32177	25741.80	51483.6
102	241	15.1	64783	51826.82	103653.648
103	102	7.6	32606	26085.02	52170.048
103	104	15	35937	28749.60	57499.2
103	240	5.5	23596	18877.32	37754.64
104	103	15	35937	28749.60	57499.2
104	105	19	45520	36416.16	72832.32
104	296	14.5	34739	27791.28	55582.56
105	104	19	45520	36416.16	72832.32
105	106	10.5	25155	20124.72	40249.44
105	295	12	28749	22999.68	45999.36
105	296	15	35937	28749.60	57499.2
106	105	10.5	25155	20124.72	40249.44
106	107	6	14374	11499.84	22999.68
106	295	18	43124	34499.52	68999.04
107	106	6	14374	11499.84	22999.68
107	115	14	33541	26832.96	53665.92
108	122	1.4	4671	3737.33	7474.656
108	201	2.9	9677	7741.61	15483.216
109	110	1.6	6864	5491.58	10983.168
109	198	3	12870	10296.72	20593.44
109	199	0.45	1930	1544.51	3089.016
110	109	1.6	6864	5491.58	10983.168
110	111	9	38612	30890.16	61780.32
111	110	9	38612	30890.16	61780.32
111	112	12.4	53199	42559.78	85119.552
111	125	2	8580	6864.48	13728.96
111	242	2	8580	6864.48	13728.96
112	102	7.5	32177	25741.80	51483.6
112	111	12.4	53199	42559.78	85119.552
112	113	9	38612	30890.16	61780.32
112	127	1	4290	3432.24	6864.48
113	112	9	38612	30890.16	61780.32
113	114	12	28749	22999.68	45999.36
113	128	1	4290	3432.24	6864.48
113	244	8.5	36467	29174.04	58348.08
113	303	41	274628	219702.60	439405.2
114	113	12	28749	22999.68	45999.36
114	115	22.5	53905	43124.40	86248.8
114	129	1	4290	3432.24	6864.48
114	296	2	4791	3833.28	7666.56
115	107	14	33541	26832.96	53665.92
115	114	22.5	53905	43124.40	86248.8
115	116	23.5	56301	45041.04	90082.08
115	130	4.2	10062	8049.89	16099.776
115	290	29.5	70676	56540.88	113081.76
116	115	23.5	56301	45041.04	90082.08
116	117	6.5	15572	12458.16	24916.32
116	131	1	2395	1916.64	3833.28
117	116	6.5	15572	12458.16	24916.32
117	118	9.2	22041	17633.09	35266.176
117	291	7.4	17728	14183.14	28366.272
118	117	9.2	22041	17633.09	35266.176
118	119	3.8	9104	7283.23	14566.464
118	288	3.2	7666	6133.25	12266.496
119	118	3.8	9104	7283.23	14566.464
119	120	17	40728	32582.88	65165.76
119	132	2	4791	3833.28	7666.56
120	119	17	40728	32582.88	65165.76
120	121	9.8	23478	18783.07	37566.144
120	133	5	11979	9583.20	19166.4
120	289	17.2	41207	32966.21	65932.416
121	120	9.8	23478	18783.07	37566.144
121	134	2	4791	3833.28	7666.56
122	108	1.4	4671	3737.33	7474.656
122	123	3.4	11345	9076.37	18152.736
122	202	0.6	1144	915.26	1830.528
123	122	3.4	11345	9076.37	18152.736
123	124	6.6	22023	17618.83	35237.664
124	123	6.6	22023	17618.83	35237.664
124	125	4.9	16350	13080.65	26161.296
124	136	2.7	11583	9267.05	18534.096
124	198	2	8580	6864.48	13728.96
125	111	2	8580	6864.48	13728.96
125	124	4.9	16350	13080.65	26161.296
125	126	4.5	15016	12012.84	24025.68
126	86	13.5	25741	20593.44	41186.88
126	125	4.5	15016	12012.84	24025.68
126	127	10	19068	15254.40	30508.8
127	112	1	4290	3432.24	6864.48
127	126	10	19068	15254.40	30508.8
127	128	6	11440	9152.64	18305.28
127	244	3	12870	10296.72	20593.44
128	113	1	4290	3432.24	6864.48
128	127	6	11440	9152.64	18305.28
128	129	10.5	11180	8944.32	17888.64
129	114	1	4290	3432.24	6864.48
129	128	10.5	11180	8944.32	17888.64
129	130	22.5	23958	19166.40	38332.8
130	115	4.2	10062	8049.89	16099.776
130	129	22.5	23958	19166.40	38332.8
130	131	19.5	20763	16610.88	33221.76
130	294	9.8	23478	18783.07	37566.144
131	116	1	2395	1916.64	3833.28
131	130	19.5	20763	16610.88	33221.76
131	132	15	15972	12777.60	25555.2
131	292	2.2	5270	4216.61	8433.216
132	119	2	4791	3833.28	7666.56
132	131	15	15972	12777.60	25555.2
132	133	11.3	12032	9625.79	19251.584
133	120	5	11979	9583.20	19166.4
133	132	11.3	12032	9625.79	19251.584
133	134	9	9583	7666.56	15333.12
133	287	8	19166	15333.12	30666.24
134	121	2	4791	3833.28	7666.56
134	133	9	9583	7666.56	15333.12
135	202	1.1	3670	2936.47	5872.944
135	203	2	6673	5339.04	10678.08
136	124	2.7	11583	9267.05	18534.096
136	243	3	12870	10296.72	20593.44
137	138	0.6	2002	1601.71	3203.424
137	150	0.5	1668	1334.76	2669.52
137	203	1.2	4004	3203.42	6406.848
138	137	0.6	2002	1601.71	3203.424
138	139	1.6	5339	4271.23	8542.464
139	138	1.6	5339	4271.23	8542.464
139	140	8	26695	21356.16	42712.32
140	139	8	26695	21356.16	42712.32
140	141	7.2	30890	24712.13	49424.256
140	245	6	25741	20593.44	41186.88
140	246	4	17161	13728.96	27457.92
141	140	7.2	30890	24712.13	49424.256
141	142	7.2	30890	24712.13	49424.256
142	141	7.2	30890	24712.13	49424.256
142	143	13.6	91096	72876.96	145753.92
142	244	14.7	63067	50453.93	100907.856
143	142	13.6	91096	72876.96	145753.92
143	144	12	80379	64303.20	128606.4
143	155	18	120568	96454.80	192909.6
143	172	9.4	62963	50370.84	100741.68
143	307	10	66982	53586.00	107172
144	143	12	80379	64303.20	128606.4
144	145	14.7	98464	78771.42	157542.84
144	304	6	40189	32151.60	64303.2
144	306	7.2	48227	38581.92	77163.84
145	144	14.7	98464	78771.42	157542.84
145	146	14.7	98464	78771.42	157542.84
145	304	9.8	65642	52514.28	105028.56
145	305	5.2	34830	27864.72	55729.44
146	145	14.7	98464	78771.42	157542.84
146	147	14.6	97794	78235.56	156471.12
146	175	5	33491	26793.00	53586
146	302	9.5	63633	50906.70	101813.4
147	146	14.6	97794	78235.56	156471.12
147	148	37	247835	198268.20	396536.4
147	175	19	127266	101813.40	203626.8
147	301	9.2	61623	49299.12	98598.24
147	302	20.8	139323	111458.88	222917.76
148	147	37	247835	198268.20	396536.4
148	149	6.3	42198	33759.18	67518.36
148	297	8.6	57604	46083.96	92167.92
149	148	6.3	42198	33759.18	67518.36
149	287	21.6	144682	115745.76	231491.52
150	137	0.5	1668	1334.76	2669.52
150	151	2.25	7508	6006.42	12012.84
151	150	2.25	7508	6006.42	12012.84
151	152	2.35	10082	8065.76	16131.528
151	156	4.6	8771	7017.02	14034.048
152	151	2.35	10082	8065.76	16131.528
152	153	3.25	13943	11154.78	22309.56
153	152	3.25	13943	11154.78	22309.56
153	154	5	21451	17161.20	34322.4
154	153	5	21451	17161.20	34322.4
154	155	12.4	53199	42559.78	85119.552
154	157	5	21451	17161.20	34322.4
154	246	3.8	16303	13042.51	26085.024
155	143	18	120568	96454.80	192909.6
155	154	12.4	53199	42559.78	85119.552
155	170	7.3	48897	39117.78	78235.56
155	246	6	25741	20593.44	41186.88
156	151	4.6	8771	7017.02	14034.048
156	160	2.25	4290	3432.24	6864.48
157	154	5	21451	17161.20	34322.4
157	167	1	4290	3432.24	6864.48
157	168	5	21451	17161.20	34322.4
158	167	1	4290	3432.24	6864.48
158	251	2.5	10725	8580.60	17161.2
159	168	4.6	19735	15788.30	31576.608
159	249	7.8	33464	26771.47	53542.944
160	156	2.25	4290	3432.24	6864.48
160	161	0.6	2002	1601.71	3203.424
160	176	0.8	2669	2135.62	4271.232
161	160	0.6	2002	1601.71	3203.424
161	162	0.8	2669	2135.62	4271.232
162	161	0.8	2669	2135.62	4271.232
162	163	1.3	4337	3470.38	6940.752
163	162	1.3	4337	3470.38	6940.752
163	164	5.15	17185	13748.03	27496.056
164	163	5.15	17185	13748.03	27496.056
164	165	2.75	9176	7341.18	14682.36
164	204	3	12870	10296.72	20593.44
165	164	2.75	9176	7341.18	14682.36
165	166	4.5	15016	12012.84	24025.68
166	165	4.5	15016	12012.84	24025.68
166	167	2.7	9009	7207.70	14415.408
167	157	1	4290	3432.24	6864.48
167	158	1	4290	3432.24	6864.48
167	166	2.7	9009	7207.70	14415.408
167	168	5	16684	13347.60	26695.2
168	157	5	21451	17161.20	34322.4
168	159	4.6	19735	15788.30	31576.608
168	167	5	16684	13347.60	26695.2
168	169	4.2	21880	17504.76	35009.52
169	168	4.2	21880	17504.76	35009.52
169	170	6.2	32300	25840.36	51680.72
170	155	7.3	48897	39117.78	78235.56
170	169	6.2	32300	25840.36	51680.72
170	171	14.5	75541	60433.10	120866.2
170	248	15.6	104492	83594.16	167188.32
171	170	14.5	75541	60433.10	120866.2
171	172	1.5	7814	6251.70	12503.4
171	247	13	87077	69661.80	139323.6
172	143	9.4	62963	50370.84	100741.68
172	171	1.5	7814	6251.70	12503.4
172	173	6.2	32300	25840.36	51680.72
173	172	6.2	32300	25840.36	51680.72
173	174	5	33491	26793.00	53586
173	247	18.5	123917	99134.10	198268.2
173	304	3.8	25453	20362.68	40725.36
174	173	5	33491	26793.00	53586
174	175	20.4	136644	109315.44	218630.88
174	304	2.5	16745	13396.50	26793
175	146	5	33491	26793.00	53586
175	147	19	127266	101813.40	203626.8
175	174	20.4	136644	109315.44	218630.88
176	160	0.8	2669	2135.62	4271.232
176	178	2.2	7341	5872.94	11745.888
177	205	1.3	4337	3470.38	6940.752
177	250	15	64354	51483.60	102967.2
178	176	2.2	7341	5872.94	11745.888
178	182	2.9	9677	7741.61	15483.216
179	180	1.55	5172	4137.76	8275.512
179	207	2.8	12012	9610.27	19220.544
180	179	1.55	5172	4137.76	8275.512
180	211	1.75	5839	4671.66	9343.32
181	182	2.2	7341	5872.94	11745.888
181	189	1.5	6435	5148.36	10296.72
182	178	2.9	9677	7741.61	15483.216
182	181	2.2	7341	5872.94	11745.888
182	183	6.7	22357	17885.78	35771.568
183	182	6.7	22357	17885.78	35771.568
183	184	5	16684	13347.60	26695.2
184	183	5	16684	13347.60	26695.2
184	213	1.1	3670	2936.47	5872.944
185	7	1	4290	3432.24	6864.48
186	9	2	8580	6864.48	13728.96
186	228	16	68644	54915.84	109831.68
187	10	1	4290	3432.24	6864.48
187	226	22	94386	75509.28	151018.56
188	12	4	17161	13728.96	27457.92
189	181	1.5	6435	5148.36	10296.72
189	190	1.7	7293	5834.81	11669.616
190	189	1.7	7293	5834.81	11669.616
190	193	2	8580	6864.48	13728.96
191	209	0.4	1334	1067.81	2135.616
191	213	0.7	2335	1868.66	3737.328
192	208	0.35	1501	1201.28	2402.568
192	212	0.45	1930	1544.51	3089.016
193	190	2	8580	6864.48	13728.96
193	220	2.75	11798	9438.66	18877.32
194	68	1.75	7508	6006.42	12012.84
194	69	4.15	17804	14243.80	28487.592
195	38	1.25	2383	1906.80	3813.6
195	50	1	1906	1525.44	3050.88
196	50	0.5	953	762.72	1525.44
196	60	0.85	1620	1296.62	2593.248
197	69	1.3	5577	4461.91	8923.824
197	72	1.9	8151	6521.26	13042.512
198	109	3	12870	10296.72	20593.44
198	124	2	8580	6864.48	13728.96
199	99	2.65	11369	9095.44	18190.872
199	109	0.45	1930	1544.51	3089.016
200	87	2.5	10725	8580.60	17161.2
201	98	0.4	762	610.18	1220.352
201	108	2.9	9677	7741.61	15483.216
202	122	0.6	1144	915.26	1830.528
202	135	1.1	3670	2936.47	5872.944
203	135	2	6673	5339.04	10678.08
203	137	1.2	4004	3203.42	6406.848
204	164	3	12870	10296.72	20593.44
204	251	8.5	36467	29174.04	58348.08
205	177	1.3	4337	3470.38	6940.752
205	206	0.9	3861	3089.02	6178.032
206	205	0.9	3861	3089.02	6178.032
206	207	1.1	4719	3775.46	7550.928
207	179	2.8	12012	9610.27	19220.544
207	206	1.1	4719	3775.46	7550.928
208	192	0.35	1501	1201.28	2402.568
208	209	1.9	8151	6521.26	13042.512
209	191	0.4	1334	1067.81	2135.616
209	208	1.9	8151	6521.26	13042.512
209	210	1.6	5339	4271.23	8542.464
210	209	1.6	5339	4271.23	8542.464
210	211	1	3336	2669.52	5339.04
211	180	1.75	5839	4671.66	9343.32
211	210	1	3336	2669.52	5339.04
212	192	0.45	1930	1544.51	3089.016
212	214	0.9	3861	3089.02	6178.032
213	184	1.1	3670	2936.47	5872.944
213	191	0.7	2335	1868.66	3737.328
214	212	0.9	3861	3089.02	6178.032
214	215	0.9	3861	3089.02	6178.032
215	214	0.9	3861	3089.02	6178.032
215	216	6.9	29603	23682.46	47364.912
216	215	6.9	29603	23682.46	47364.912
216	217	4.2	18019	14415.41	28830.816
217	216	4.2	18019	14415.41	28830.816
217	218	1.7	7293	5834.81	11669.616
218	217	1.7	7293	5834.81	11669.616
218	219	2	8580	6864.48	13728.96
219	4	4.75	20378	16303.14	32606.28
219	218	2	8580	6864.48	13728.96
220	0	1.25	5362	4290.30	8580.6
220	193	2.75	11798	9438.66	18877.32
221	224	2.5	10725	8580.60	17161.2
221	256	1.75	7508	6006.42	12012.84
222	18	5.1	21880	17504.42	35008.848
222	256	2.45	10511	8408.99	16817.976
223	17	4.75	15850	12680.22	25360.44
223	19	2.45	8175	6540.32	13080.648
224	24	6.8	29174	23339.23	46678.464
224	221	2.5	10725	8580.60	17161.2
224	229	8	34322	27457.92	54915.84
225	41	1.9	8151	6521.26	13042.512
225	230	9.6	41186	32949.50	65899.008
226	12	22	94386	75509.28	151018.56
226	187	22	94386	75509.28	151018.56
226	227	22	94386	75509.28	151018.56
227	30	22	47648	38118.96	76237.92
227	226	22	94386	75509.28	151018.56
227	228	8.6	36896	29517.26	59034.528
227	255	7	30032	24025.68	48051.36
228	186	16	68644	54915.84	109831.68
228	227	8.6	36896	29517.26	59034.528
228	229	11.8	50625	40500.43	81000.864
228	256	9.15	39256	31405.00	62809.992
229	224	8	34322	27457.92	54915.84
229	228	11.8	50625	40500.43	81000.864
229	253	6.7	28745	22996.01	45992.016
230	225	9.6	41186	32949.50	65899.008
230	231	7.2	30890	24712.13	49424.256
231	45	13.6	58348	46678.46	93356.928
231	62	1	4290	3432.24	6864.48
231	230	7.2	30890	24712.13	49424.256
231	232	5.4	23167	18534.10	37068.192
232	46	19.1	81944	65555.78	131111.568
232	231	5.4	23167	18534.10	37068.192
232	254	14	60064	48051.36	96102.72
233	54	18.1	16444	13155.80	26311.608
233	236	5.3	22738	18190.87	36381.744
233	252	16	68644	54915.84	109831.68
234	73	12.3	52770	42216.55	84433.104
234	74	5.2	22309	17847.65	35695.296
234	235	2.5	10725	8580.60	17161.2
234	252	6	25741	20593.44	41186.88
235	234	2.5	10725	8580.60	17161.2
235	236	5.3	22738	18190.87	36381.744
236	77	16.7	71648	57318.41	114636.816
236	233	5.3	22738	18190.87	36381.744
236	235	5.3	22738	18190.87	36381.744
237	76	6	25741	20593.44	41186.88
237	88	1	4290	3432.24	6864.48
237	238	8.5	36467	29174.04	58348.08
238	79	8.2	35180	28144.37	56288.736
238	237	8.5	36467	29174.04	58348.08
238	241	11.5	49338	39470.76	78941.52
239	80	18.5	79370	63496.44	126992.88
239	240	16.8	72077	57661.63	115323.264
239	295	17.2	73793	59034.53	118069.056
240	103	5.5	23596	18877.32	37754.64
240	239	16.8	72077	57661.63	115323.264
240	241	16.3	69931	55945.51	111891.024
241	102	15.1	64783	51826.82	103653.648
241	238	11.5	49338	39470.76	78941.52
241	240	16.3	69931	55945.51	111891.024
242	101	8.2	35180	28144.37	56288.736
242	111	2	8580	6864.48	13728.96
243	136	3	12870	10296.72	20593.44
243	245	4	17161	13728.96	27457.92
244	113	8.5	36467	29174.04	58348.08
244	127	3	12870	10296.72	20593.44
244	142	14.7	63067	50453.93	100907.856
244	307	15.5	103822	83058.30	166116.6
245	140	6	25741	20593.44	41186.88
245	243	4	17161	13728.96	27457.92
246	140	4	17161	13728.96	27457.92
246	154	3.8	16303	13042.51	26085.024
246	155	6	25741	20593.44	41186.88
247	171	13	87077	69661.80	139323.6
247	173	18.5	123917	99134.10	198268.2
247	248	3.4	14587	11669.62	23339.232
248	170	15.6	104492	83594.16	167188.32
