311
2
Arcs	Cost	Risk_C1	Risk_C2
34	35	10	21658,50	17326,80
34	261	16,7	36169,70	28935,76
35	34	10	21658,50	17326,80
35	36	15	32487,75	25990,20
35	261	10,3	22308,26	17846,60
35	271	12	25990,20	20792,16
35	273	10	21658,50	17326,80
36	35	15	32487,75	25990,20
36	37	6,8	14727,78	11782,22
36	271	6	12995,10	10396,08
36	311	9,4	20358,99	16287,19
37	36	6,8	14727,78	11782,22
37	260	15,8	34220,43	27376,34
38	21	4,3	14348,67	11478,94
38	39	1,75	5839,58	4671,66
39	38	1,75	5839,58	4671,66
39	40	0,3	1001,07	800,86
39	196	1,25	2383,50	1906,80
40	39	0,3	1001,07	800,86
40	41	1,1	3670,59	2936,47
41	40	1,1	3670,59	2936,47
41	42	0,4	1334,76	1067,81
42	41	0,4	1334,76	1067,81
42	43	1,7	5672,73	4538,18
42	226	1,9	8151,57	6521,26
43	42	1,7	5672,73	4538,18
43	44	4,5	19306,35	15445,08
44	43	4,5	19306,35	15445,08
44	45	14	60064,20	48051,36
45	44	14	60064,20	48051,36
45	46	5	21451,50	17161,20
46	45	5	21451,50	17161,20
46	47	7,5	32177,25	25741,80
46	232	13,6	58348,08	46678,46
47	29	14,9	32271,17	25816,93
47	46	7,5	32177,25	25741,80
47	48	10,7	23174,60	18539,68
47	233	19,1	81944,73	65555,78
48	30	19,2	41584,32	33267,46
48	47	10,7	23174,60	18539,68
48	49	7,9	17110,22	13688,17
49	48	7,9	17110,22	13688,17
49	50	36,6	33252,93	26602,34
49	267	4	8663,40	6930,72
49	279	3	2725,65	2180,52
50	49	36,6	33252,93	26602,34
50	57	36,1	32798,66	26238,92
50	66	38,1	64181,36	51345,08
50	276	20,1	18261,86	14609,48
51	196	1	1906,80	1525,44
51	197	0,5	953,40	762,72
52	62	1,5	5005,35	4004,28
52	69	5,35	22953,11	18362,48
53	54	8,4	36038,52	28830,82
53	72	5,5	23596,65	18877,32
54	53	8,4	36038,52	28830,82
54	55	5,5	4997,03	3997,62
54	63	5,8	19354,02	15483,22
54	286	12,6	11447,73	9158,18
55	54	5,5	4997,03	3997,62
55	56	15,5	14082,53	11266,02
55	234	18,1	16444,76	13155,80
55	278	35	31799,25	25439,40
56	55	15,5	14082,53	11266,02
56	57	21,2	19261,26	15409,01
56	278	19,3	17535,02	14028,01
56	282	20	18171,00	14536,80
57	50	36,1	32798,66	26238,92
57	56	21,2	19261,26	15409,01
57	58	9,5	8631,23	6904,98
57	276	34,1	30981,56	24785,24
57	280	40	36342,00	29073,60
57	282	35	31799,25	25439,40
57	283	34	30890,70	24712,56
58	57	9,5	8631,23	6904,98
58	59	14,5	13173,98	10539,18
58	280	32	29073,60	23258,88
59	58	14,5	13173,98	10539,18
59	60	44,4	40339,62	32271,70
59	310	35,6	32344,38	25875,50
60	59	44,4	40339,62	32271,70
60	310	64,4	58510,62	46808,50
61	62	4,5	15016,05	12012,84
61	197	0,85	1620,78	1296,62
62	52	1,5	5005,35	4004,28
62	61	4,5	15016,05	12012,84
62	63	13,7	45715,53	36572,42
63	54	5,8	19354,02	15483,22
63	62	13,7	45715,53	36572,42
63	64	4	13347,60	10678,08
63	232	1	4290,30	3432,24
64	63	4	13347,60	10678,08
64	65	28,7	20280,86	16224,68
64	87	32,4	61780,32	49424,26
65	64	28,7	20280,86	16224,68
65	66	9,7	16340,14	13072,11
65	279	2	4331,70	3465,36
66	50	38,1	64181,36	51345,08
66	65	9,7	16340,14	13072,11
66	67	11,8	19877,69	15902,15
66	266	2	4331,70	3465,36
67	66	11,8	19877,69	15902,15
67	68	28,1	47335,86	37868,68
67	264	1	2165,85	1732,68
68	67	28,1	47335,86	37868,68
68	309	2	4331,70	3465,36
69	52	5,35	22953,11	18362,48
69	195	1,75	7508,03	6006,42
70	71	2,65	11369,30	9095,44
70	195	4,15	17804,75	14243,80
70	198	1,3	5577,39	4461,91
71	70	2,65	11369,30	9095,44
71	253	15	64354,50	51483,60
72	53	5,5	23596,65	18877,32
72	253	7,5	32177,25	25741,80
73	74	1,7	7293,51	5834,81
73	86	1,65	3146,22	2516,98
73	198	1,9	8151,57	6521,26
74	73	1,7	7293,51	5834,81
74	235	12,3	52770,69	42216,55
75	76	4	17161,20	13728,96
75	235	5,2	22309,56	17847,65
76	75	4	17161,20	13728,96
76	77	6	25741,80	20593,44
76	88	4,8	20593,44	16474,75
77	76	6	25741,80	20593,44
77	78	8,2	35180,46	28144,37
77	238	6	25741,80	20593,44
78	77	8,2	35180,46	28144,37
78	79	8,2	35180,46	28144,37
78	237	16,7	71648,01	57318,41
79	78	8,2	35180,46	28144,37
79	80	3	12870,90	10296,72
80	79	3	12870,90	10296,72
80	81	11,8	50625,54	40500,43
80	90	1	4290,30	3432,24
80	239	8,2	35180,46	28144,37
81	80	11,8	50625,54	40500,43
81	82	5	21451,50	17161,20
81	240	18,5	79370,55	63496,44
82	81	5	21451,50	17161,20
82	83	7,2	30890,16	24712,13
83	82	7,2	30890,16	24712,13
83	84	16,2	69502,86	55602,29
83	91	2,7	11583,81	9267,05
84	83	16,2	69502,86	55602,29
84	85	32,2	138147,66	110518,13
84	92	1	4290,30	3432,24
85	84	32,2	138147,66	110518,13
85	94	4	17161,20	13728,96
85	291	60,9	145904,22	116723,38
85	296	58,5	250982,55	200786,04
86	73	1,65	3146,22	2516,98
86	97	1,3	2478,84	1983,07
87	64	32,4	61780,32	49424,26
87	88	2	6673,80	5339,04
87	127	13,5	25741,80	20593,44
88	76	4,8	20593,44	16474,75
88	87	2	6673,80	5339,04
88	89	11,9	39709,11	31767,29
88	98	3,15	13514,45	10811,56
88	201	2,5	10725,75	8580,60
89	88	11,9	39709,11	31767,29
89	90	9	30032,10	24025,68
89	238	1	4290,30	3432,24
90	80	1	4290,30	3432,24
90	89	9	30032,10	24025,68
90	91	17,5	58395,75	46716,60
90	278	20,3	18443,57	14754,85
91	83	2,7	11583,81	9267,05
91	90	17,5	58395,75	46716,60
91	92	10,4	34703,76	27763,01
91	281	13	11811,15	9448,92
92	84	1	4290,30	3432,24
92	91	10,4	34703,76	27763,01
92	93	11,2	37373,28	29898,62
93	92	11,2	37373,28	29898,62
93	94	15,3	51054,57	40843,66
93	95	3	2119,95	1695,96
94	85	4	17161,20	13728,96
94	93	15,3	51054,57	40843,66
95	93	3	2119,95	1695,96
95	96	25,2	17807,58	14246,06
95	277	5	4542,75	3634,20
96	95	25,2	17807,58	14246,06
96	310	2	1817,10	1453,68
97	86	1,3	2478,84	1983,07
97	99	1,85	3527,58	2822,06
98	88	3,15	13514,45	10811,56
98	100	3,75	16088,63	12870,90
99	97	1,85	3527,58	2822,06
99	202	0,4	762,72	610,18
100	98	3,75	16088,63	12870,90
100	101	10	42903,00	34322,40
100	200	2,65	11369,30	9095,44
101	100	10	42903,00	34322,40
101	102	8,3	35609,49	28487,59
102	101	8,3	35609,49	28487,59
102	103	5,8	24883,74	19906,99
102	243	8,2	35180,46	28144,37
103	102	5,8	24883,74	19906,99
103	104	7,6	32606,28	26085,02
103	113	7,5	32177,25	25741,80
103	242	15,1	64783,53	51826,82
104	103	7,6	32606,28	26085,02
104	105	15	35937,00	28749,60
104	241	5,5	23596,65	18877,32
105	104	15	35937,00	28749,60
105	106	19	45520,20	36416,16
105	297	14,5	34739,10	27791,28
106	105	19	45520,20	36416,16
106	107	10,5	25155,90	20124,72
106	296	12	28749,60	22999,68
106	297	15	35937,00	28749,60
107	106	10,5	25155,90	20124,72
107	108	6	14374,80	11499,84
107	296	18	43124,40	34499,52
108	107	6	14374,80	11499,84
108	116	14	33541,20	26832,96
109	123	1,4	4671,66	3737,33
109	202	2,9	9677,01	7741,61
110	111	1,6	6864,48	5491,58
110	199	3	12870,90	10296,72
110	200	0,45	1930,64	1544,51
111	110	1,6	6864,48	5491,58
111	112	9	38612,70	30890,16
112	111	9	38612,70	30890,16
112	113	12,4	53199,72	42559,78
112	126	2	8580,60	6864,48
112	243	2	8580,60	6864,48
113	103	7,5	32177,25	25741,80
113	112	12,4	53199,72	42559,78
113	114	9	38612,70	30890,16
113	128	1	4290,30	3432,24
114	113	9	38612,70	30890,16
114	115	12	28749,60	22999,68
114	129	1	4290,30	3432,24
114	245	8,5	36467,55	29174,04
114	304	41	274628,25	219702,60
115	114	12	28749,60	22999,68
115	116	22,5	53905,50	43124,40
115	130	1	4290,30	3432,24
115	297	2	4791,60	3833,28
116	108	14	33541,20	26832,96
116	115	22,5	53905,50	43124,40
116	117	23,5	56301,30	45041,04
116	131	4,2	10062,36	8049,89
116	291	29,5	70676,10	56540,88
117	116	23,5	56301,30	45041,04
117	118	6,5	15572,70	12458,16
117	132	1	2395,80	1916,64
118	117	6,5	15572,70	12458,16
118	119	9,2	22041,36	17633,09
118	292	7,4	17728,92	14183,14
119	118	9,2	22041,36	17633,09
119	120	3,8	9104,04	7283,23
119	289	3,2	7666,56	6133,25
120	119	3,8	9104,04	7283,23
120	121	17	40728,60	32582,88
120	133	2	4791,60	3833,28
121	120	17	40728,60	32582,88
121	122	9,8	23478,84	18783,07
121	134	5	11979,00	9583,20
121	290	17,2	41207,76	32966,21
122	121	9,8	23478,84	18783,07
122	135	2	4791,60	3833,28
123	109	1,4	4671,66	3737,33
123	124	3,4	11345,46	9076,37
123	203	0,6	1144,08	915,26
124	123	3,4	11345,46	9076,37
124	125	6,6	22023,54	17618,83
125	124	6,6	22023,54	17618,83
125	126	4,9	16350,81	13080,65
125	137	2,7	11583,81	9267,05
125	199	2	8580,60	6864,48
126	112	2	8580,60	6864,48
126	125	4,9	16350,81	13080,65
126	127	4,5	15016,05	12012,84
127	87	13,5	25741,80	20593,44
127	126	4,5	15016,05	12012,84
127	128	10	19068,00	15254,40
128	113	1	4290,30	3432,24
128	127	10	19068,00	15254,40
128	129	6	11440,80	9152,64
128	245	3	12870,90	10296,72
129	114	1	4290,30	3432,24
129	128	6	11440,80	9152,64
129	130	10,5	11180,40	8944,32
130	115	1	4290,30	3432,24
130	129	10,5	11180,40	8944,32
130	131	22,5	23958,00	19166,40
131	116	4,2	10062,36	8049,89
131	130	22,5	23958,00	19166,40
131	132	19,5	20763,60	16610,88
131	295	9,8	23478,84	18783,07
132	117	1	2395,80	1916,64
132	131	19,5	20763,60	16610,88
132	133	15	15972,00	12777,60
132	293	2,2	5270,76	4216,61
133	120	2	4791,60	3833,28
133	132	15	15972,00	12777,60
133	134	11,3	12032,24	9625,79
134	121	5	11979,00	9583,20
134	133	11,3	12032,24	9625,79
134	135	9	9583,20	7666,56
134	288	8	19166,40	15333,12
135	122	2	4791,60	3833,28
135	134	9	9583,20	7666,56
136	203	1,1	3670,59	2936,47
136	204	2	6673,80	5339,04
137	125	2,7	11583,81	9267,05
137	244	3	12870,90	10296,72
138	139	0,6	2002,14	1601,71
138	151	0,5	1668,45	1334,76
138	204	1,2	4004,28	3203,42
139	138	0,6	2002,14	1601,71
139	140	1,6	5339,04	4271,23
140	139	1,6	5339,04	4271,23
140	141	8	26695,20	21356,16
141	140	8	26695,20	21356,16
141	142	7,2	30890,16	24712,13
141	246	6	25741,80	20593,44
141	247	4	17161,20	13728,96
142	141	7,2	30890,16	24712,13
142	143	7,2	30890,16	24712,13
143	142	7,2	30890,16	24712,13
143	144	13,6	91096,20	72876,96
143	245	14,7	63067,41	50453,93
144	143	13,6	91096,20	72876,96
144	145	12	80379,00	64303,20
144	156	18	120568,50	96454,80
144	173	9,4	62963,55	50370,84
144	308	10	66982,50	53586,00
145	144	12	80379,00	64303,20
145	146	14,7	98464,28	78771,42
145	305	6	40189,50	32151,60
145	307	7,2	48227,40	38581,92
146	145	14,7	98464,28	78771,42
146	147	14,7	98464,28	78771,42
146	305	9,8	65642,85	52514,28
146	306	5,2	34830,90	27864,72
147	146	14,7	98464,28	78771,42
147	148	14,6	97794,45	78235,56
147	176	5	33491,25	26793,00
147	303	9,5	63633,38	50906,70
148	147	14,6	97794,45	78235,56
148	149	37	247835,25	198268,20
148	176	19	127266,75	101813,40
148	302	9,2	61623,90	49299,12
148	303	20,8	139323,60	111458,88
149	148	37	247835,25	198268,20
149	150	6,3	42198,98	33759,18
149	298	8,6	57604,95	46083,96
150	149	6,3	42198,98	33759,18
150	288	21,6	144682,20	115745,76
151	138	0,5	1668,45	1334,76
151	152	2,25	7508,03	6006,42
152	151	2,25	7508,03	6006,42
152	153	2,35	10082,21	8065,76
152	157	4,6	8771,28	7017,02
153	152	2,35	10082,21	8065,76
153	154	3,25	13943,48	11154,78
154	153	3,25	13943,48	11154,78
154	155	5	21451,50	17161,20
155	154	5	21451,50	17161,20
155	156	12,4	53199,72	42559,78
155	158	5	21451,50	17161,20
155	247	3,8	16303,14	13042,51
156	144	18	120568,50	96454,80
156	155	12,4	53199,72	42559,78
156	171	7,3	48897,23	39117,78
156	247	6	25741,80	20593,44
157	152	4,6	8771,28	7017,02
157	161	2,25	4290,30	3432,24
158	155	5	21451,50	17161,20
158	168	1	4290,30	3432,24
158	169	5	21451,50	17161,20
159	168	1	4290,30	3432,24
159	252	2,5	10725,75	8580,60
160	169	4,6	19735,38	15788,30
160	250	7,8	33464,34	26771,47
161	157	2,25	4290,30	3432,24
161	162	0,6	2002,14	1601,71
161	177	0,8	2669,52	2135,62
162	161	0,6	2002,14	1601,71
162	163	0,8	2669,52	2135,62
163	162	0,8	2669,52	2135,62
163	164	1,3	4337,97	3470,38
164	163	1,3	4337,97	3470,38
164	165	5,15	17185,04	13748,03
165	164	5,15	17185,04	13748,03
165	166	2,75	9176,48	7341,18
165	205	3	12870,90	10296,72
166	165	2,75	9176,48	7341,18
166	167	4,5	15016,05	12012,84
167	166	4,5	15016,05	12012,84
167	168	2,7	9009,63	7207,70
168	158	1	4290,30	3432,24
168	159	1	4290,30	3432,24
168	167	2,7	9009,63	7207,70
168	169	5	16684,50	13347,60
169	158	5	21451,50	17161,20
169	160	4,6	19735,38	15788,30
169	168	5	16684,50	13347,60
169	170	4,2	21880,95	17504,76
170	169	4,2	21880,95	17504,76
170	171	6,2	32300,45	25840,36
171	156	7,3	48897,23	39117,78
171	170	6,2	32300,45	25840,36
171	172	14,5	75541,38	60433,10
171	249	15,6	104492,70	83594,16
172	171	14,5	75541,38	60433,10
172	173	1,5	7814,63	6251,70
172	248	13	87077,25	69661,80
173	144	9,4	62963,55	50370,84
173	172	1,5	7814,63	6251,70
173	174	6,2	32300,45	25840,36
174	173	6,2	32300,45	25840,36
174	175	5	33491,25	26793,00
174	248	18,5	123917,63	99134,10
174	305	3,8	25453,35	20362,68
175	174	5	33491,25	26793,00
175	176	20,4	136644,30	109315,44
175	305	2,5	16745,63	13396,50
176	147	5	33491,25	26793,00
176	148	19	127266,75	101813,40
176	175	20,4	136644,30	109315,44
177	161	0,8	2669,52	2135,62
177	179	2,2	7341,18	5872,94
178	206	1,3	4337,97	3470,38
178	251	15	64354,50	51483,60
179	177	2,2	7341,18	5872,94
179	183	2,9	9677,01	7741,61
180	181	1,55	5172,20	4137,76
180	208	2,8	12012,84	9610,27
181	180	1,55	5172,20	4137,76
181	212	1,75	5839,58	4671,66
182	183	2,2	7341,18	5872,94
182	190	1,5	6435,45	5148,36
183	179	2,9	9677,01	7741,61
183	182	2,2	7341,18	5872,94
183	184	6,7	22357,23	17885,78
184	183	6,7	22357,23	17885,78
184	185	5	16684,50	13347,60
185	184	5	16684,50	13347,60
185	214	1,1	3670,59	2936,47
186	8	1	4290,30	3432,24
187	10	2	8580,60	6864,48
187	229	16	68644,80	54915,84
188	11	1	4290,30	3432,24
188	227	22	94386,60	75509,28
189	13	4	17161,20	13728,96
190	182	1,5	6435,45	5148,36
190	191	1,7	7293,51	5834,81
191	190	1,7	7293,51	5834,81
191	194	2	8580,60	6864,48
192	210	0,4	1334,76	1067,81
192	214	0,7	2335,83	1868,66
193	209	0,35	1501,61	1201,28
193	213	0,45	1930,64	1544,51
194	191	2	8580,60	6864,48
194	221	2,75	11798,33	9438,66
195	69	1,75	7508,03	6006,42
195	70	4,15	17804,75	14243,80
196	39	1,25	2383,50	1906,80
196	51	1	1906,80	1525,44
197	51	0,5	953,40	762,72
197	61	0,85	1620,78	1296,62
198	70	1,3	5577,39	4461,91
198	73	1,9	8151,57	6521,26
199	110	3	12870,90	10296,72
199	125	2	8580,60	6864,48
200	100	2,65	11369,30	9095,44
200	110	0,45	1930,64	1544,51
201	88	2,5	10725,75	8580,60
202	99	0,4	762,72	610,18
202	109	2,9	9677,01	7741,61
203	123	0,6	1144,08	915,26
203	136	1,1	3670,59	2936,47
204	136	2	6673,80	5339,04
204	138	1,2	4004,28	3203,42
205	165	3	12870,90	10296,72
205	252	8,5	36467,55	29174,04
206	178	1,3	4337,97	3470,38
206	207	0,9	3861,27	3089,02
207	206	0,9	3861,27	3089,02
207	208	1,1	4719,33	3775,46
208	180	2,8	12012,84	9610,27
208	207	1,1	4719,33	3775,46
209	193	0,35	1501,61	1201,28
209	210	1,9	8151,57	6521,26
210	192	0,4	1334,76	1067,81
210	209	1,9	8151,57	6521,26
210	211	1,6	5339,04	4271,23
211	210	1,6	5339,04	4271,23
211	212	1	3336,90	2669,52
212	181	1,75	5839,58	4671,66
212	211	1	3336,90	2669,52
213	193	0,45	1930,64	1544,51
213	215	0,9	3861,27	3089,02
214	185	1,1	3670,59	2936,47
214	192	0,7	2335,83	1868,66
215	213	0,9	3861,27	3089,02
215	216	0,9	3861,27	3089,02
216	215	0,9	3861,27	3089,02
216	217	6,9	29603,07	23682,46
217	216	6,9	29603,07	23682,46
217	218	4,2	18019,26	14415,41
218	217	4,2	18019,26	14415,41
218	219	1,7	7293,51	5834,81
219	218	1,7	7293,51	5834,81
219	220	2	8580,60	6864,48
220	5	4,75	20378,93	16303,14
220	219	2	8580,60	6864,48
221	1	1,25	5362,88	4290,30
221	194	2,75	11798,33	9438,66
222	225	2,5	10725,75	8580,60
222	257	1,75	7508,03	6006,42
223	19	5,1	21880,53	17504,42
223	257	2,45	10511,24	8408,99
224	18	4,75	15850,28	12680,22
224	20	2,45	8175,41	6540,32
225	25	6,8	29174,04	23339,23
225	222	2,5	10725,75	8580,60
225	230	8	34322,40	27457,92
226	42	1,9	8151,57	6521,26
226	231	9,6	41186,88	32949,50
227	13	22	94386,60	75509,28
227	188	22	94386,60	75509,28
227	228	22	94386,60	75509,28
228	31	22	47648,70	38118,96
228	227	22	94386,60	75509,28
228	229	8,6	36896,58	29517,26
228	256	7	30032,10	24025,68
229	187	16	68644,80	54915,84
229	228	8,6	36896,58	29517,26
229	230	11,8	50625,54	40500,43
229	257	9,15	39256,25	31405,00
230	225	8	34322,40	27457,92
230	229	11,8	50625,54	40500,43
230	254	6,7	28745,01	22996,01
231	226	9,6	41186,88	32949,50
231	232	7,2	30890,16	24712,13
232	46	13,6	58348,08	46678,46
232	63	1	4290,30	3432,24
232	231	7,2	30890,16	24712,13
232	233	5,4	23167,62	18534,10
233	47	19,1	81944,73	65555,78
233	232	5,4	23167,62	18534,10
233	255	14	60064,20	48051,36
234	55	18,1	16444,76	13155,80
234	237	5,3	22738,59	18190,87
234	253	16	68644,80	54915,84
235	74	12,3	52770,69	42216,55
235	75	5,2	22309,56	17847,65
235	236	2,5	10725,75	8580,60
235	253	6	25741,80	20593,44
236	235	2,5	10725,75	8580,60
236	237	5,3	22738,59	18190,87
237	78	16,7	71648,01	57318,41
237	234	5,3	22738,59	18190,87
237	236	5,3	22738,59	18190,87
238	77	6	25741,80	20593,44
238	89	1	4290,30	3432,24
238	239	8,5	36467,55	29174,04
239	80	8,2	35180,46	28144,37
239	238	8,5	36467,55	29174,04
239	242	11,5	49338,45	39470,76
240	81	18,5	79370,55	63496,44
240	241	16,8	72077,04	57661,63
240	296	17,2	73793,16	59034,53
241	104	5,5	23596,65	18877,32
241	240	16,8	72077,04	57661,63
241	242	16,3	69931,89	55945,51
242	103	15,1	64783,53	51826,82
242	239	11,5	49338,45	39470,76
242	241	16,3	69931,89	55945,51
243	102	8,2	35180,46	28144,37
243	112	2	8580,60	6864,48
244	137	3	12870,90	10296,72
244	246	4	17161,20	13728,96
245	114	8,5	36467,55	29174,04
245	128	3	12870,90	10296,72
245	143	14,7	63067,41	50453,93
245	308	15,5	103822,88	83058,30
246	141	6	25741,80	20593,44
246	244	4	17161,20	13728,96
247	141	4	17161,20	13728,96
247	155	3,8	16303,14	13042,51
247	156	6	25741,80	20593,44
248	172	13	87077,25	69661,80
248	174	18,5	123917,63	99134,10
248	249	3,4	14587,02	11669,62
249	171	15,6	104492,70	83594,16
249	248	3,4	14587,02	11669,62
249	250	14	60064,20	48051,36
250	160	7,8	33464,34	26771,47
250	249	14	60064,20	48051,36
250	251	11	47193,30	37754,64
251	178	15	64354,50	51483,60
251	250	11	47193,30	37754,64
251	252	7,2	30890,16	24712,13
252	159	2,5	10725,75	8580,60
252	205	8,5	36467,55	29174,04
252	251	7,2	30890,16	24712,13
253	71	15	64354,50	51483,60
253	72	7,5	32177,25	25741,80
253	234	16	68644,80	54915,84
253	235	6	25741,80	20593,44
254	29	6,2	26599,86	21279,89
254	230	6,7	28745,01	22996,01
254	256	9	38612,70	30890,16
255	233	14	60064,20	48051,36
255	286	7	6359,85	5087,88
256	228	7	30032,10	24025,68
256	254	9	38612,70	30890,16
257	222	1,75	7508,03	6006,42
257	223	2,45	10511,24	8408,99
257	229	9,15	39256,25	31405,00
258	17	3	6497,55	5198,04
258	259	22	47648,70	38118,96
258	263	20,5	44399,93	35519,94
258	270	27,6	59777,46	47821,97
259	258	22	47648,70	38118,96
259	260	9,4	20358,99	16287,19
259	262	13,6	29455,56	23564,45
260	37	15,8	34220,43	27376,34
260	259	9,4	20358,99	16287,19
260	261	12	25990,20	20792,16
260	270	6,75	14619,49	11695,59
261	34	16,7	36169,70	28935,76
261	35	10,3	22308,26	17846,60
261	260	12	25990,20	20792,16
261	262	15	32487,75	25990,20
262	32	21	45482,85	36386,28
262	33	24	51980,40	41584,32
262	259	13,6	29455,56	23564,45
262	261	15	32487,75	25990,20
262	263	4	8663,40	6930,72
263	16	19	41151,15	32920,92
263	258	20,5	44399,93	35519,94
263	262	4	8663,40	6930,72
264	67	1	2165,85	1732,68
264	265	15	32487,75	25990,20
264	266	19,9	43100,42	34480,33
264	275	10,5	22741,43	18193,14
265	33	12	20214,60	16171,68
265	264	15	32487,75	25990,20
265	266	20,5	34533,28	27626,62
265	268	17,3	37469,21	29975,36
265	274	9,7	21008,75	16807,00
266	66	2	4331,70	3465,36
266	264	19,9	43100,42	34480,33
266	265	20,5	34533,28	27626,62
266	267	10	21658,50	17326,80
267	49	4	8663,40	6930,72
267	266	10	21658,50	17326,80
267	268	17,4	37685,79	30148,63
268	33	17,3	37469,21	29975,36
268	265	17,3	37469,21	29975,36
268	267	17,4	37685,79	30148,63
268	269	20,2	43750,17	35000,14
269	31	6,5	14078,03	11262,42
269	268	20,2	43750,17	35000,14
270	258	27,6	59777,46	47821,97
270	260	6,75	14619,49	11695,59
271	35	12	25990,20	20792,16
271	36	6	12995,10	10396,08
271	272	5,5	11912,18	9529,74
271	311	4,5	9746,33	7797,06
272	271	5,5	11912,18	9529,74
272	273	14,1	30538,49	24430,79
272	309	18	38985,30	31188,24
273	33	12,6	27289,71	21831,77
273	35	10	21658,50	17326,80
273	272	14,1	30538,49	24430,79
273	274	4,8	10396,08	8316,86
274	265	9,7	21008,75	16807,00
274	273	4,8	10396,08	8316,86
274	275	12,5	27073,13	21658,50
275	264	10,5	22741,43	18193,14
275	274	12,5	27073,13	21658,50
275	309	23,9	51763,82	41411,05
276	50	20,1	18261,86	14609,48
276	57	34,1	30981,56	24785,24
276	279	27	24530,85	19624,68
276	283	20	18171,00	14536,80
276	284	7	6359,85	5087,88
277	95	5	4542,75	3634,20
277	280	20	18171,00	14536,80
278	55	35	31799,25	25439,40
278	56	19,3	17535,02	14028,01
278	90	20,3	18443,57	14754,85
278	281	9	8176,95	6541,56
279	49	3	2725,65	2180,52
279	65	2	4331,70	3465,36
279	276	27	24530,85	19624,68
279	284	28	25439,40	20351,52
279	287	18,5	16808,18	13446,54
280	57	40	36342,00	29073,60
280	58	32	29073,60	23258,88
280	277	20	18171,00	14536,80
280	281	18	16353,90	13083,12
281	91	13	11811,15	9448,92
281	278	9	8176,95	6541,56
281	280	18	16353,90	13083,12
281	282	40	36342,00	29073,60
282	56	20	18171,00	14536,80
282	57	35	31799,25	25439,40
282	281	40	36342,00	29073,60
283	57	34	30890,70	24712,56
283	276	20	18171,00	14536,80
283	286	12	10902,60	8722,08
284	276	7	6359,85	5087,88
284	279	28	25439,40	20351,52
