120
1
Arcs	Cost	Risk_C1
8	19	11	8
8	20	14	1
8	21	9	9
8	22	9	9
8	23	14	1
8	24	2	12
8	30	7	12
8	33	9	5
8	35	9	5
8	37	11	7
8	41	4	8
8	60	8	5
8	71	14	11
8	72	11	8
8	76	10	15
8	78	17	16
8	85	12	14
8	92	9	5
8	94	20	9
8	105	5	4
8	107	12	8
8	108	8	9
8	109	6	19
8	110	4	1
8	114	16	17
9	10	6	20
9	11	6	20
9	12	15	14
9	13	1	5
9	14	4	1
9	15	4	1
9	16	6	20
9	17	11	17
9	18	20	8
9	19	20	8
9	20	7	13
9	21	4	11
9	22	4	11
9	23	16	15
9	24	16	1
9	25	13	4
9	26	8	7
9	30	15	14
9	33	7	5
9	41	16	1
9	42	16	1
9	43	16	1
9	47	5	6
9	48	16	1
9	54	17	18
9	57	7	13
9	60	2	12
9	66	9	9
9	67	16	1
9	68	5	6
9	71	4	11
9	78	2	12
9	79	16	1
9	82	12	7
9	84	9	6
9	85	9	5
9	89	2	4
9	91	3	14
9	92	16	1
9	99	17	12
9	105	16	1
9	107	16	1
9	108	2	5
9	109	20	12
9	110	14	9
9	114	10	17
10	11	5	4
10	12	14	11
10	13	6	20
10	14	5	4
10	15	5	4
10	16	9	9
10	17	12	14
10	18	9	6
10	19	9	6
10	20	7	13
10	21	11	7
10	22	11	7
10	23	14	1
10	24	9	5
10	25	13	4
10	26	8	7
10	27	2	12
10	28	2	12
10	29	2	12
10	30	15	14
10	31	2	12
10	32	2	12
10	33	7	5
10	41	5	7
10	47	5	6
10	49	2	12
10	50	2	12
10	54	17	18
10	57	7	13
10	59	2	12
10	60	9	5
10	63	2	12
10	66	9	9
10	68	5	6
10	71	4	11
10	78	9	5
10	81	7	9
10	82	12	7
10	83	7	9
10	84	9	6
10	85	7	9
10	86	7	9
10	88	7	9
10	89	2	4
10	91	3	14
10	98	13	7
10	99	17	12
10	100	13	7
10	103	13	7
10	105	2	12
10	107	2	12
10	108	2	12
10	109	8	18
10	110	2	12
10	111	2	12
10	113	2	12
10	114	10	17
11	14	10	17
11	15	10	17
11	16	15	2
11	17	7	13
11	18	1	5
11	19	1	5
11	20	7	13
11	21	13	13
11	22	13	13
11	23	3	14
11	24	17	13
11	25	13	4
11	26	8	7
11	30	15	14
11	33	7	5
11	34	20	2
11	35	20	2
11	36	20	2
11	40	20	2
11	41	9	1
11	47	5	6
11	54	17	18
11	57	7	13
11	66	9	9
11	68	5	6
11	71	4	11
11	82	12	7
11	84	9	6
11	87	20	2
11	89	2	4
11	91	3	14
11	99	17	12
11	100	9	16
11	101	20	2
11	105	20	4
11	107	6	4
11	108	12	8
11	109	8	6
11	110	6	1
11	114	10	17
12	16	12	10
12	17	2	4
12	18	2	4
12	19	11	17
12	20	7	13
12	21	2	4
12	22	2	4
12	23	2	4
12	25	13	4
12	26	8	7
12	27	14	9
12	28	14	9
12	29	14	9
12	30	15	14
12	31	14	9
12	32	14	9
12	33	7	5
12	41	17	9
12	45	14	9
12	47	5	6
12	49	2	13
12	50	2	13
12	54	17	18
12	57	7	13
12	58	14	9
12	59	14	9
12	60	1	17
12	63	14	9
12	66	9	9
12	68	5	6
12	70	14	9
12	71	4	11
12	82	12	7
12	84	9	6
12	89	2	4
12	91	3	14
12	96	14	9
12	99	17	12
12	105	2	13
12	107	2	13
12	108	2	13
12	109	1	17
12	110	2	13
12	111	2	13
12	113	2	13
12	114	10	17
13	17	1	4
13	18	6	20
13	19	6	20
13	20	7	13
13	21	4	8
13	22	4	8
13	23	11	17
13	25	13	4
13	26	8	7
13	30	15	14
13	33	7	5
13	41	11	2
13	47	5	6
13	54	17	18
13	57	7	13
13	66	9	9
13	68	5	6
13	71	4	11
13	82	12	7
13	84	9	6
13	89	2	4
13	91	3	14
13	99	17	12
13	105	16	8
13	108	6	4
13	109	4	9
13	114	10	17
14	15	14	1
14	16	11	7
14	17	12	7
14	18	9	9
14	19	9	9
14	20	7	13
14	21	20	8
14	22	20	8
14	23	12	14
14	25	13	4
14	26	8	7
14	30	15	14
14	33	7	5
14	41	13	7
14	47	5	6
14	54	17	18
14	57	7	13
14	66	9	9
14	68	5	6
14	71	4	11
14	82	12	7
14	84	9	6
14	89	2	4
14	91	3	14
14	99	17	12
14	105	20	8
14	108	16	14
14	109	7	4
14	114	10	17
15	17	17	16
15	18	17	16
15	19	17	16
15	20	7	13
15	21	7	17
15	22	7	17
15	25	13	4
15	26	8	7
15	27	20	18
15	28	20	18
15	29	20	18
15	30	15	14
15	31	20	18
15	32	20	18
15	33	7	5
15	34	20	18
15	35	20	18
15	36	20	18
15	38	20	18
15	39	20	18
15	41	7	20
15	43	7	20
15	44	7	20
15	45	7	20
15	46	7	20
15	47	5	6
15	54	17	18
15	57	7	13
15	66	9	9
15	68	5	6
15	71	4	11
15	73	20	18
15	74	20	18
15	77	20	18
15	78	20	18
15	80	20	18
15	81	20	18
15	82	12	7
15	83	20	18
15	84	9	6
15	85	20	18
15	88	20	18
15	89	2	4
15	91	3	14
15	96	20	18
15	97	7	20
15	98	7	20
15	99	17	12
15	100	7	20
15	102	7	20
15	103	7	20
15	104	7	20
15	108	14	9
15	109	8	17
15	110	8	17
15	111	8	17
15	114	10	17
16	17	11	8
16	18	11	7
16	19	4	1
16	20	7	13
16	21	15	14
16	22	15	14
16	25	13	4
16	26	8	7
16	30	15	14
16	33	7	5
16	34	10	5
16	35	10	5
16	36	10	5
16	37	10	5
16	38	10	5
16	39	10	5
16	40	10	5
16	41	2	12
16	47	5	6
16	54	17	18
16	57	7	13
16	66	9	9
16	68	5	6
16	71	4	11
16	82	12	7
16	84	9	6
16	89	2	4
16	91	3	14
16	99	17	12
16	108	6	1
16	109	3	20
16	114	10	17
17	18	5	4
17	19	10	15
17	20	5	4
17	21	5	4
17	22	5	4
17	23	5	4
17	26	1	7
17	27	9	17
17	28	9	17
17	29	9	17
17	30	11	2
17	31	9	17
17	32	9	17
17	33	5	6
17	34	13	4
17	35	1	4
17	36	8	7
17	40	9	6
17	41	9	5
17	44	17	18
17	46	11	17
17	61	8	20
17	70	9	11
17	71	11	2
17	74	15	2
17	83	4	12
17	85	9	11
17	87	9	11
17	88	9	11
17	98	9	11
17	100	9	11
17	101	16	15
17	102	14	7
17	107	9	11
17	108	5	6
17	112	1	3
17	113	12	10
18	19	11	7
18	20	3	14
18	24	20	2
18	25	20	2
18	26	1	7
18	30	20	2
18	33	5	6
18	34	13	4
18	35	1	4
18	36	8	7
18	40	9	6
18	42	20	2
18	44	17	18
18	46	11	17
18	47	20	2
18	48	20	2
18	49	17	9
18	50	17	9
18	61	8	20
18	71	13	7
18	74	15	2
18	79	17	13
18	83	4	12
18	89	20	2
18	92	20	2
18	101	16	15
18	102	14	7
18	105	17	9
18	107	9	11
18	108	5	6
18	110	17	9
18	111	17	9
18	112	1	3
18	113	12	10
19	22	18	10
19	23	18	10
19	26	1	7
19	30	13	7
19	33	5	6
19	34	13	4
19	35	1	4
19	36	8	7
19	40	9	6
19	44	17	18
19	46	11	17
19	61	8	20
19	71	2	12
19	74	15	2
19	80	5	18
19	83	4	12
19	87	5	18
19	101	16	15
19	102	14	7
19	107	9	11
19	108	5	6
19	112	1	3
19	113	12	10
20	25	16	20
20	26	1	7
20	27	10	16
20	28	10	16
20	29	10	16
20	30	16	20
20	31	10	16
20	32	10	16
20	33	5	6
20	34	13	4
20	35	1	4
20	36	8	7
20	40	9	6
20	44	17	18
20	45	11	2
20	46	11	17
20	49	10	16
20	50	10	16
20	53	10	16
20	55	10	16
20	60	16	20
20	61	8	20
20	71	9	5
20	74	15	2
20	83	4	12
20	92	11	2
20	99	16	20
20	101	16	15
20	102	14	7
20	107	9	11
20	108	5	6
20	109	10	16
20	110	3	20
20	111	3	20
20	112	1	3
20	113	12	10
20	114	10	16
21	26	1	7
21	30	2	12
21	33	5	6
21	34	13	4
21	35	1	4
21	36	8	7
21	40	9	6
21	44	17	18
21	46	11	17
21	61	8	20
21	74	15	2
21	83	4	12
21	101	16	15
21	102	14	7
21	107	9	11
21	108	5	6
21	112	1	3
21	113	12	10
22	26	1	7
22	30	9	5
22	33	5	6
22	34	13	4
22	35	1	4
22	36	8	7
22	37	7	20
22	38	7	20
22	39	7	20
22	40	9	6
22	44	17	18
22	46	11	17
22	49	20	18
22	50	20	18
22	53	20	18
22	61	8	20
22	74	15	2
22	83	4	12
22	101	16	15
22	102	14	7
22	107	9	11
22	108	5	6
22	112	1	3
22	113	12	10
23	25	9	11
23	26	10	5
23	27	10	5
23	28	10	5
23	29	10	5
23	30	10	5
23	31	10	5
23	32	10	5
23	41	10	5
23	42	12	9
23	43	10	5
23	44	10	5
23	45	10	5
23	46	10	5
23	47	10	5
23	48	10	5
23	49	10	5
23	50	10	5
23	51	10	5
23	52	10	5
23	53	10	5
23	54	10	5
23	55	10	5
23	56	10	5
23	81	10	16
23	82	13	7
23	89	10	5
23	90	10	5
23	91	10	5
23	92	9	17
23	93	10	5
23	94	10	5
23	95	10	5
23	96	10	5
23	97	7	9
23	99	14	9
23	107	10	5
23	114	7	20
23	118	20	18
24	25	9	11
24	27	7	9
24	28	7	9
24	29	7	9
24	30	13	10
24	31	7	9
24	32	7	9
24	34	7	9
24	35	7	9
24	36	7	9
24	38	7	9
24	39	7	9
24	42	12	9
24	48	10	5
24	73	7	9
24	74	7	9
24	78	7	9
24	80	7	9
24	81	10	16
24	82	13	7
24	92	9	17
24	97	7	9
24	99	14	9
24	108	13	10
24	110	13	10
24	111	13	10
24	112	13	10
24	113	13	10
24	114	7	20
24	115	13	10
24	117	13	10
24	118	20	18
25	30	5	7
25	34	17	9
25	35	17	9
25	36	17	9
25	38	17	9
25	39	17	9
25	41	12	9
25	42	9	16
25	43	9	16
25	45	5	7
25	48	9	16
25	51	11	2
25	60	5	7
25	74	9	16
25	75	17	13
25	79	7	2
25	80	10	5
25	87	1	17
25	92	9	16
25	97	17	9
25	98	16	1
25	101	17	9
25	103	17	9
25	104	17	9
25	105	12	10
25	106	12	10
25	107	20	2
25	108	12	10
25	109	12	10
25	110	12	10
25	111	12	10
25	112	12	10
25	113	12	10
25	114	12	10
25	115	12	10
25	116	12	10
25	117	12	10
25	118	12	10
26	27	2	13
26	28	2	13
26	29	2	13
26	31	2	13
26	32	2	13
26	41	12	9
26	45	1	17
26	51	11	2
26	59	2	13
26	60	5	7
26	63	2	13
26	67	1	17
26	74	9	16
26	75	17	13
26	79	7	2
26	80	10	5
26	87	1	17
26	98	16	1
26	107	20	2
26	108	20	4
26	109	20	4
26	113	20	4
27	38	10	16
27	39	10	16
27	41	12	9
27	47	1	14
27	51	11	2
27	60	5	7
27	74	9	16
27	75	17	13
27	79	7	2
27	80	10	5
27	82	10	16
27	83	10	16
27	85	10	16
27	87	1	17
27	88	10	16
27	89	1	14
27	98	16	1
27	99	11	2
27	107	20	2
27	108	1	14
27	110	1	14
27	111	1	14
27	112	1	14
27	113	1	14
27	115	1	14
28	41	12	9
28	51	11	2
28	60	5	7
28	74	9	16
28	75	17	13
28	79	7	2
28	80	10	5
28	87	1	17
28	98	16	1
28	105	18	7
28	106	18	7
28	107	20	2
28	108	18	7
28	109	18	7
28	110	18	7
28	111	18	7
28	112	18	7
28	113	18	7
28	114	18	7
28	115	18	7
28	116	18	7
28	117	18	7
28	118	18	7
29	41	12	9
29	51	11	2
29	60	5	7
29	74	9	16
29	75	17	13
29	79	7	2
29	80	10	5
29	81	7	20
29	82	7	20
29	83	7	20
29	84	7	20
29	85	7	20
29	86	7	20
29	87	1	17
29	88	7	20
29	98	16	1
29	107	20	2
30	41	12	9
30	51	11	2
30	60	5	7
30	74	9	16
30	75	17	13
30	79	7	2
30	80	10	5
30	87	1	17
30	98	16	1
30	107	20	2
31	33	13	10
31	34	13	10
31	35	13	10
31	36	13	10
31	38	9	17
31	39	9	17
31	41	12	9
31	49	7	9
31	50	7	9
31	51	11	2
31	60	5	7
31	74	9	16
31	75	17	13
31	77	9	17
31	78	9	17
31	79	7	2
31	80	10	5
31	87	1	17
31	98	16	1
31	107	20	2
31	109	18	5
32	41	12	9
32	42	17	13
32	47	17	13
32	48	17	13
32	51	11	2
32	58	17	9
32	59	17	9
32	60	5	7
32	63	17	9
32	67	17	13
32	68	17	13
32	71	17	13
32	74	9	16
32	75	17	13
32	79	7	2
32	80	10	5
32	87	1	17
32	89	17	13
32	92	17	13
32	96	17	9
32	98	16	1
32	107	20	2
33	41	5	1
33	47	10	16
33	52	10	5
33	56	7	20
33	62	5	18
33	67	2	12
33	68	20	18
33	79	17	9
33	83	2	13
33	87	7	9
33	92	9	17
33	101	14	9
34	47	10	16
34	52	10	5
34	56	7	20
34	67	2	12
34	68	20	18
34	79	17	9
34	81	1	14
34	83	2	13
34	87	7	9
34	92	9	17
34	99	2	9
34	101	14	9
35	41	5	1
35	47	10	16
35	52	10	5
35	56	7	20
35	67	2	12
35	68	20	18
35	79	17	9
35	83	2	13
35	87	7	9
35	92	9	17
35	101	14	9
36	41	5	1
36	47	10	16
36	52	10	5
36	56	7	20
36	65	7	20
36	66	7	20
36	67	2	12
36	68	20	18
36	69	7	20
36	70	7	20
36	71	7	20
36	72	7	20
36	79	17	9
36	83	2	13
36	87	7	9
36	92	9	17
36	101	14	9
36	105	5	1
36	107	5	1
36	108	5	1
36	109	5	1
36	110	5	1
36	111	5	1
36	113	5	1
37	41	5	1
37	47	10	16
37	52	10	5
37	56	7	20
37	67	2	12
37	68	20	18
37	79	17	9
37	81	10	5
37	82	10	5
37	83	2	13
37	84	10	5
37	85	10	5
37	86	10	5
37	87	7	9
37	88	10	5
37	92	9	17
37	97	10	5
37	98	10	5
37	99	10	5
37	100	10	5
37	101	14	9
37	102	10	5
37	103	10	5
37	104	10	5
38	41	5	1
38	47	10	16
38	52	10	5
38	56	7	20
38	67	2	12
38	68	20	18
38	79	17	9
38	83	2	13
38	87	7	9
38	92	9	17
38	96	2	12
38	97	9	17
38	98	9	17
38	100	9	17
38	101	14	9
38	102	9	17
38	103	9	17
38	104	9	17
38	109	2	17
39	41	5	1
39	47	10	16
39	52	10	5
39	56	7	20
39	67	2	12
39	68	20	18
39	79	17	9
39	83	2	13
39	87	7	9
39	92	9	17
39	101	14	9
40	41	5	1
40	47	10	16
40	49	14	9
40	50	14	9
40	52	10	5
40	53	14	9
40	56	7	20
40	67	2	12
40	68	20	18
40	74	14	9
40	77	14	9
40	78	14	9
40	79	17	9
40	80	14	9
40	83	2	13
40	87	7	9
40	92	9	17
40	101	14	9
40	109	14	9
40	114	14	9
41	57	12	9
41	64	20	18
41	67	11	2
41	73	7	9
41	80	9	17
41	81	7	2
41	89	14	9
41	100	10	5
41	106	7	20
41	109	17	9
41	111	10	16
42	57	12	9
42	64	20	18
42	73	7	9
42	80	9	17
42	81	7	2
42	89	14	9
42	100	10	5
42	106	7	20
42	109	17	9
42	111	10	16
43	49	7	20
43	50	7	20
43	51	7	20
43	52	7	20
43	53	7	20
43	54	7	20
43	55	7	20
43	56	7	20
43	57	12	9
43	58	20	18
43	59	20	18
43	63	20	18
43	64	20	18
43	73	7	9
43	80	9	17
43	81	7	2
43	89	14	9
43	100	10	5
43	106	7	20
43	107	7	20
43	109	17	9
43	111	10	16
44	57	12	9
44	64	20	18
44	65	10	5
44	66	10	5
44	67	10	5
44	68	10	5
44	69	10	5
44	70	10	5
44	71	10	5
44	72	10	5
44	73	7	9
44	80	9	17
44	81	7	2
44	89	14	9
44	100	10	5
44	106	7	20
44	109	17	9
44	111	10	16
45	57	12	9
45	58	9	17
45	59	9	17
45	61	9	17
45	63	9	17
45	64	20	18
45	67	18	5
45	68	18	5
45	70	18	5
45	71	18	5
45	73	7	9
45	80	9	17
45	81	7	2
45	89	14	9
45	96	9	17
45	100	10	5
45	106	7	20
45	109	17	9
45	111	10	16
46	57	12	9
46	60	20	2
46	64	20	18
46	67	9	16
46	71	9	16
46	73	7	9
46	79	20	2
46	80	9	17
46	81	7	2
46	89	14	9
46	100	10	5
46	105	17	13
46	106	7	20
46	109	17	9
46	111	10	16
47	57	12	9
47	64	20	18
47	73	7	9
47	80	9	17
47	81	7	2
47	89	14	9
47	97	14	9
47	98	14	9
47	100	10	5
47	101	14	9
47	103	14	9
47	104	14	9
47	106	7	20
47	109	17	9
47	111	10	16
48	57	12	9
48	58	10	16
48	59	10	16
48	60	11	2
48	61	10	16
48	63	10	16
48	64	20	18
48	73	7	9
48	79	11	2
48	80	9	17
48	81	7	2
48	89	14	9
48	96	10	16
48	100	10	5
48	106	7	20
48	109	17	9
48	111	10	16
49	62	10	5
49	67	10	16
49	69	14	9
49	80	9	17
49	81	7	9
49	86	20	18
49	101	2	13
49	109	12	12
49	112	12	9
49	115	17	9
49	116	7	20
50	62	10	5
50	67	10	16
50	69	14	9
50	80	9	17
50	81	7	9
50	86	20	18
50	101	2	13
50	112	12	9
50	115	17	9
50	116	7	20
51	57	10	5
51	58	10	5
51	59	10	5
51	60	10	5
51	61	10	5
51	62	10	5
51	63	10	5
51	64	10	5
51	67	10	16
51	69	14	9
51	73	10	5
51	74	10	5
51	75	10	5
51	76	10	5
51	77	10	5
51	78	10	5
51	79	10	5
51	80	9	17
51	81	7	9
51	86	20	18
51	101	2	13
51	109	14	14
51	112	12	9
51	115	17	9
51	116	7	20
52	58	7	9
52	59	7	9
52	60	13	10
52	62	10	5
52	63	7	9
52	67	10	16
52	69	14	9
52	80	9	17
52	81	7	9
52	82	9	17
52	83	9	17
52	85	9	17
52	86	20	18
52	87	18	5
52	88	9	17
52	96	7	9
52	97	2	12
52	101	2	13
52	104	2	12
52	109	6	1
52	112	12	9
52	115	17	9
52	116	7	20
53	60	5	7
53	62	10	5
53	67	10	16
53	68	9	1
53	69	14	9
53	70	9	1
53	71	9	1
53	79	9	16
53	80	9	17
53	81	7	9
53	86	20	18
53	101	2	13
53	112	12	9
53	115	17	9
53	116	7	20
54	62	10	5
54	67	10	16
54	69	14	9
54	80	9	17
54	81	7	9
54	86	20	18
54	96	2	13
54	101	2	13
54	112	12	9
54	115	17	9
54	116	7	20
55	60	1	14
55	62	10	5
55	67	10	16
55	69	14	9
55	73	1	14
55	80	9	17
55	81	7	9
55	86	20	18
55	101	2	13
55	109	10	1
55	112	12	9
55	115	17	9
55	116	7	20
56	62	10	5
56	67	10	16
56	69	14	9
56	80	9	17
56	81	7	9
56	86	20	18
56	101	2	13
56	110	12	8
56	112	12	9
56	115	17	9
56	116	7	20
57	65	2	13
57	73	17	9
57	74	7	20
57	75	7	20
57	76	7	20
57	77	7	20
57	78	7	20
57	79	2	12
57	82	10	5
57	86	9	17
57	87	7	9
57	89	10	16
57	90	7	20
57	91	7	20
57	92	7	20
57	93	7	20
57	94	7	20
57	95	14	9
57	96	7	20
57	107	5	1
57	110	20	18
58	65	2	13
58	73	17	9
58	79	2	12
58	82	10	5
58	86	9	17
58	87	7	9
58	89	10	16
58	92	7	20
58	95	14	9
58	107	5	1
58	110	20	18
59	65	2	13
