311
3
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3
24	23	1.1655	2574	2059.34	4118.688
24	25	0.333	9009	7207.70	14415.408
24	224	0.102831	29174	23339.23	46678.464
25	24	0.333	9009	7207.70	14415.408
25	26	0.221992	13514	10811.56	21623.112
26	25	0.221992	13514	10811.56	21623.112
26	27	0.18538	16183	12947.17	25894.344
27	26	0.18538	16183	12947.17	25894.344
27	28	0.0699252	42903	34322.40	68644.8
28	27	0.0699252	42903	34322.40	68644.8
28	29	0.197889	15160	12128.76	24257.52
28	46	0.0929627	32271	25816.93	51633.864
28	253	0.112786	26599	21279.89	42559.776
29	28	0.197889	15160	12128.76	24257.52
29	30	0.0748727	40068	32054.58	64109.16
29	47	0.0721431	41584	33267.46	66534.912
30	29	0.0748727	40068	32054.58	64109.16
30	31	0.159219	18842	15074.32	30148.632
30	227	0.0629617	47648	38118.96	76237.92
30	268	0.213098	14078	11262.42	22524.84
31	14	0.0461716	64975	51980.40	103960.8
31	30	0.159219	18842	15074.32	30148.632
31	32	0.109067	27506	22005.04	44010.072
31	261	0.0659602	45482	36386.28	72772.56
32	31	0.109067	27506	22005.04	44010.072
32	33	0.216435	13861	11089.15	22178.304
32	261	0.0577145	51980	41584.32	83168.64
32	264	0.148412	20214	16171.68	32343.36
32	267	0.0800662	37469	29975.36	59950.728
32	272	0.109934	27289	21831.77	43663.536
33	32	0.216435	13861	11089.15	22178.304
33	34	0.138517	21658	17326.80	34653.6
33	260	0.082944	36169	28935.76	57871.512
34	33	0.138517	21658	17326.80	34653.6
34	35	0.0923446	32487	25990.20	51980.4
34	260	0.134481	22308	17846.60	35693.208
34	270	0.115429	25990	20792.16	41584.32
34	272	0.138517	21658	17326.80	34653.6
35	34	0.0923446	32487	25990.20	51980.4
35	36	0.203707	14727	11782.22	23564.448
35	270	0.230858	12995	10396.08	20792.16
35	310	0.147362	20358	16287.19	32574.384
36	35	0.203707	14727	11782.22	23564.448
36	259	0.087668	34220	27376.34	54752.688
37	20	0.209088	14348	11478.94	22957.872
37	38	0.513787	5839	4671.66	9343.32
38	37	0.513787	5839	4671.66	9343.32
38	39	2.997	1001	800.86	1601.712
38	195	1.25892	2383	1906.80	3813.6
39	38	2.997	1001	800.86	1601.712
39	40	0.817439	3670	2936.47	5872.944
40	39	0.817439	3670	2936.47	5872.944
40	41	2.24888	1334	1067.81	2135.616
41	40	2.24888	1334	1067.81	2135.616
41	42	0.528914	5672	4538.18	9076.368
41	225	0.368053	8151	6521.26	13042.512
42	41	0.528914	5672	4538.18	9076.368
42	43	0.155392	19306	15445.08	30890.16
43	42	0.155392	19306	15445.08	30890.16
43	44	0.0499467	60064	48051.36	96102.72
44	43	0.0499467	60064	48051.36	96102.72
44	45	0.139854	21451	17161.20	34322.4
45	44	0.139854	21451	17161.20	34322.4
45	46	0.0932343	32177	25741.80	51483.6
45	231	0.0514156	58348	46678.46	93356.928
46	28	0.0929627	32271	25816.93	51633.864
46	45	0.0932343	32177	25741.80	51483.6
46	47	0.129455	23174	18539.68	37079.352
46	232	0.0366104	81944	65555.78	131111.568
47	29	0.0721431	41584	33267.46	66534.912
47	46	0.129455	23174	18539.68	37079.352
47	48	0.175336	17110	13688.17	27376.344
48	47	0.175336	17110	13688.17	27376.344
48	49	0.0902201	33252	26602.34	53204.688
48	266	0.3463	8663	6930.72	13861.44
48	278	1.10092	2725	2180.52	4361.04
49	48	0.0902201	33252	26602.34	53204.688
49	56	0.091469	32798	26238.92	52477.848
49	65	0.0467428	64181	51345.08	102690.168
49	275	0.164285	18261	14609.48	29218.968
50	195	1.57398	1906	1525.44	3050.88
50	196	3.14795	953	762.72	1525.44
51	61	0.599401	5005	4004.28	8008.56
51	68	0.130702	22953	18362.48	36724.968
52	53	0.0832455	36038	28830.82	57661.632
52	71	0.12714	23596	18877.32	37754.64
53	52	0.0832455	36038	28830.82	57661.632
53	54	0.60036	4997	3997.62	7995.24
53	62	0.155007	19354	15483.22	30966.432
53	285	0.262077	11447	9158.18	18316.368
54	53	0.60036	4997	3997.62	7995.24
54	55	0.213038	14082	11266.02	22532.04
54	233	0.182437	16444	13155.80	26311.608
54	277	0.0943426	31799	25439.40	50878.8
55	54	0.213038	14082	11266.02	22532.04
55	56	0.155755	19261	15409.01	30818.016
55	277	0.171086	17535	14028.01	28056.024
55	281	0.165098	18171	14536.80	29073.6
56	49	0.091469	32798	26238.92	52477.848
56	55	0.155755	19261	15409.01	30818.016
56	57	0.347584	8631	6904.98	13809.96
56	275	0.0968335	30981	24785.24	49570.488
56	279	0.0825491	36342	29073.60	58147.2
56	281	0.0943426	31799	25439.40	50878.8
56	282	0.0971188	30890	24712.56	49425.12
57	56	0.347584	8631	6904.98	13809.96
57	58	0.227739	13173	10539.18	21078.36
57	279	0.103189	29073	23258.88	46517.76
58	57	0.227739	13173	10539.18	21078.36
58	59	0.0743697	40339	32271.70	64543.392
58	309	0.0927529	32344	25875.50	51751.008
59	58	0.0743697	40339	32271.70	64543.392
59	309	0.0512733	58510	46808.50	93616.992
60	61	0.199787	15016	12012.84	24025.68
60	196	1.85185	1620	1296.62	2593.248
61	51	0.599401	5005	4004.28	8008.56
61	60	0.199787	15016	12012.84	24025.68
61	62	0.065624	45715	36572.42	73144.848
62	53	0.155007	19354	15483.22	30966.432
62	61	0.065624	45715	36572.42	73144.848
62	63	0.22477	13347	10678.08	21356.16
62	231	0.699301	4290	3432.24	6864.48
63	62	0.22477	13347	10678.08	21356.16
63	64	0.147929	20280	16224.68	32449.368
63	86	0.0485594	61780	49424.26	98848.512
64	63	0.147929	20280	16224.68	32449.368
64	65	0.183599	16340	13072.11	26144.216
64	278	0.692681	4331	3465.36	6930.72
65	49	0.0467428	64181	51345.08	102690.168
65	64	0.183599	16340	13072.11	26144.216
65	66	0.150928	19877	15902.15	31804.304
65	265	0.692681	4331	3465.36	6930.72
66	65	0.150928	19877	15902.15	31804.304
66	67	0.0633781	47335	37868.68	75737.368
66	263	1.38568	2165	1732.68	3465.36
67	66	0.0633781	47335	37868.68	75737.368
67	308	0.692681	4331	3465.36	6930.72
68	51	0.130702	22953	18362.48	36724.968
68	194	0.399574	7508	6006.42	12012.84
69	70	0.263875	11369	9095.44	18190.872
69	194	0.168501	17804	14243.80	28487.592
69	197	0.537924	5577	4461.91	8923.824
70	69	0.263875	11369	9095.44	18190.872
70	252	0.0466171	64354	51483.60	102967.2
71	52	0.12714	23596	18877.32	37754.64
71	252	0.0932343	32177	25741.80	51483.6
72	73	0.411353	7293	5834.81	11669.616
72	85	0.953592	3146	2516.98	5033.952
72	197	0.368053	8151	6521.26	13042.512
73	72	0.411353	7293	5834.81	11669.616
73	234	0.0568505	52770	42216.55	84433.104
74	75	0.174815	17161	13728.96	27457.92
74	234	0.134475	22309	17847.65	35695.296
75	74	0.174815	17161	13728.96	27457.92
75	76	0.116546	25741	20593.44	41186.88
75	87	0.145681	20593	16474.75	32949.504
76	75	0.116546	25741	20593.44	41186.88
76	77	0.0852757	35180	28144.37	56288.736
76	237	0.116546	25741	20593.44	41186.88
77	76	0.0852757	35180	28144.37	56288.736
77	78	0.0852757	35180	28144.37	56288.736
77	236	0.0418714	71648	57318.41	114636.816
78	77	0.0852757	35180	28144.37	56288.736
78	79	0.2331	12870	10296.72	20593.44
79	78	0.2331	12870	10296.72	20593.44
79	80	0.0592593	50625	40500.43	81000.864
79	89	0.699301	4290	3432.24	6864.48
79	238	0.0852757	35180	28144.37	56288.736
80	79	0.0592593	50625	40500.43	81000.864
80	81	0.139854	21451	17161.20	34322.4
80	239	0.0377977	79370	63496.44	126992.88
81	80	0.139854	21451	17161.20	34322.4
81	82	0.0971188	30890	24712.13	49424.256
82	81	0.0971188	30890	24712.13	49424.256
82	83	0.0431642	69502	55602.29	111204.576
82	90	0.259	11583	9267.05	18534.096
83	82	0.0431642	69502	55602.29	111204.576
83	84	0.021716	138147	110518.13	221036.256
83	91	0.699301	4290	3432.24	6864.48
84	83	0.021716	138147	110518.13	221036.256
84	93	0.174815	17161	13728.96	27457.92
84	290	0.0205615	145904	116723.38	233446.752
84	295	0.011953	250982	200786.04	401572.08
85	72	0.953592	3146	2516.98	5033.952
85	96	1.21065	2478	1983.07	3966.144
86	63	0.0485594	61780	49424.26	98848.512
86	87	0.449573	6673	5339.04	10678.08
86	126	0.116546	25741	20593.44	41186.88
87	75	0.145681	20593	16474.75	32949.504
87	86	0.449573	6673	5339.04	10678.08
87	88	0.0755496	39709	31767.29	63534.576
87	97	0.221992	13514	10811.56	21623.112
87	200	0.27972	10725	8580.60	17161.2
88	87	0.0755496	39709	31767.29	63534.576
88	89	0.0998934	30032	24025.68	48051.36
88	237	0.699301	4290	3432.24	6864.48
89	79	0.699301	4290	3432.24	6864.48
89	88	0.0998934	30032	24025.68	48051.36
89	90	0.0513743	58395	46716.60	93433.2
89	277	0.162663	18443	14754.85	29509.704
90	82	0.259	11583	9267.05	18534.096
90	89	0.0513743	58395	46716.60	93433.2
90	91	0.0864479	34703	27763.01	55526.016
90	280	0.254001	11811	9448.92	18897.84
91	83	0.699301	4290	3432.24	6864.48
91	90	0.0864479	34703	27763.01	55526.016
91	92	0.0802719	37373	29898.62	59797.248
92	91	0.0802719	37373	29898.62	59797.248
92	93	0.0587613	51054	40843.66	81687.312
92	94	1.41576	2119	1695.96	3391.92
93	84	0.174815	17161	13728.96	27457.92
93	92	0.0587613	51054	40843.66	81687.312
94	92	1.41576	2119	1695.96	3391.92
94	95	0.168473	17807	14246.06	28492.128
94	276	0.660502	4542	3634.20	7268.4
95	94	0.168473	17807	14246.06	28492.128
95	309	1.65107	1817	1453.68	2907.36
96	85	1.21065	2478	1983.07	3966.144
96	98	0.850581	3527	2822.06	5644.128
97	87	0.221992	13514	10811.56	21623.112
97	99	0.186474	16088	12870.90	25741.8
98	96	0.850581	3527	2822.06	5644.128
98	201	3.93701	762	610.18	1220.352
99	97	0.186474	16088	12870.90	25741.8
99	100	0.0699252	42903	34322.40	68644.8
99	199	0.263875	11369	9095.44	18190.872
100	99	0.0699252	42903	34322.40	68644.8
100	101	0.0842484	35609	28487.59	56975.184
101	100	0.0842484	35609	28487.59	56975.184
101	102	0.120564	24883	19906.99	39813.984
101	242	0.0852757	35180	28144.37	56288.736
102	101	0.120564	24883	19906.99	39813.984
102	103	0.0920076	32606	26085.02	52170.048
102	112	0.0932343	32177	25741.80	51483.6
102	241	0.0463084	64783	51826.82	103653.648
103	102	0.0920076	32606	26085.02	52170.048
103	104	0.0834794	35937	28749.60	57499.2
103	240	0.12714	23596	18877.32	37754.64
104	103	0.0834794	35937	28749.60	57499.2
104	105	0.0659051	45520	36416.16	72832.32
104	296	0.0863583	34739	27791.28	55582.56
105	104	0.0659051	45520	36416.16	72832.32
105	106	0.119261	25155	20124.72	40249.44
105	295	0.104351	28749	22999.68	45999.36
105	296	0.0834794	35937	28749.60	57499.2
106	105	0.119261	25155	20124.72	40249.44
106	107	0.20871	14374	11499.84	22999.68
106	295	0.0695668	43124	34499.52	68999.04
107	106	0.20871	14374	11499.84	22999.68
107	115	0.0894428	33541	26832.96	53665.92
108	122	0.642261	4671	3737.33	7474.656
108	201	0.310013	9677	7741.61	15483.216
109	110	0.437063	6864	5491.58	10983.168
109	198	0.2331	12870	10296.72	20593.44
109	199	1.5544	1930	1544.51	3089.016
110	109	0.437063	6864	5491.58	10983.168
110	111	0.0776961	38612	30890.16	61780.32
111	110	0.0776961	38612	30890.16	61780.32
111	112	0.056392	53199	42559.78	85119.552
111	125	0.34965	8580	6864.48	13728.96
111	242	0.34965	8580	6864.48	13728.96
112	102	0.0932343	32177	25741.80	51483.6
112	111	0.056392	53199	42559.78	85119.552
112	113	0.0776961	38612	30890.16	61780.32
112	127	0.699301	4290	3432.24	6864.48
113	112	0.0776961	38612	30890.16	61780.32
113	114	0.104351	28749	22999.68	45999.36
113	128	0.699301	4290	3432.24	6864.48
113	244	0.0822662	36467	29174.04	58348.08
113	303	0.0109239	274628	219702.60	439405.2
114	113	0.104351	28749	22999.68	45999.36
114	115	0.0556535	53905	43124.40	86248.8
114	129	0.699301	4290	3432.24	6864.48
114	296	0.626174	4791	3833.28	7666.56
115	107	0.0894428	33541	26832.96	53665.92
115	114	0.0556535	53905	43124.40	86248.8
115	116	0.053285	56301	45041.04	90082.08
115	130	0.298151	10062	8049.89	16099.776
115	290	0.0424472	70676	56540.88	113081.76
116	115	0.053285	56301	45041.04	90082.08
116	117	0.192653	15572	12458.16	24916.32
116	131	1.25261	2395	1916.64	3833.28
117	116	0.192653	15572	12458.16	24916.32
117	118	0.13611	22041	17633.09	35266.176
117	291	0.169224	17728	14183.14	28366.272
118	117	0.13611	22041	17633.09	35266.176
118	119	0.329525	9104	7283.23	14566.464
118	288	0.391338	7666	6133.25	12266.496
119	118	0.329525	9104	7283.23	14566.464
119	120	0.0736594	40728	32582.88	65165.76
119	132	0.626174	4791	3833.28	7666.56
120	119	0.0736594	40728	32582.88	65165.76
120	121	0.127779	23478	18783.07	37566.144
120	133	0.250438	11979	9583.20	19166.4
120	289	0.0728032	41207	32966.21	65932.416
121	120	0.127779	23478	18783.07	37566.144
121	134	0.626174	4791	3833.28	7666.56
122	108	0.642261	4671	3737.33	7474.656
122	123	0.264434	11345	9076.37	18152.736
122	202	2.62238	1144	915.26	1830.528
123	122	0.264434	11345	9076.37	18152.736
123	124	0.136221	22023	17618.83	35237.664
124	123	0.136221	22023	17618.83	35237.664
124	125	0.183486	16350	13080.65	26161.296
124	136	0.259	11583	9267.05	18534.096
124	198	0.34965	8580	6864.48	13728.96
125	111	0.34965	8580	6864.48	13728.96
125	124	0.183486	16350	13080.65	26161.296
125	126	0.199787	15016	12012.84	24025.68
126	86	0.116546	25741	20593.44	41186.88
126	125	0.199787	15016	12012.84	24025.68
126	127	0.157332	19068	15254.40	30508.8
127	112	0.699301	4290	3432.24	6864.48
127	126	0.157332	19068	15254.40	30508.8
127	128	0.262238	11440	9152.64	18305.28
127	244	0.2331	12870	10296.72	20593.44
128	113	0.699301	4290	3432.24	6864.48
128	127	0.262238	11440	9152.64	18305.28
128	129	0.268336	11180	8944.32	17888.64
129	114	0.699301	4290	3432.24	6864.48
129	128	0.268336	11180	8944.32	17888.64
129	130	0.125219	23958	19166.40	38332.8
130	115	0.298151	10062	8049.89	16099.776
130	129	0.125219	23958	19166.40	38332.8
130	131	0.144488	20763	16610.88	33221.76
130	294	0.127779	23478	18783.07	37566.144
131	116	1.25261	2395	1916.64	3833.28
131	130	0.144488	20763	16610.88	33221.76
131	132	0.187829	15972	12777.60	25555.2
131	292	0.56926	5270	4216.61	8433.216
132	119	0.626174	4791	3833.28	7666.56
132	131	0.187829	15972	12777.60	25555.2
132	133	0.249335	12032	9625.79	19251.584
133	120	0.250438	11979	9583.20	19166.4
133	132	0.249335	12032	9625.79	19251.584
133	134	0.313054	9583	7666.56	15333.12
133	287	0.156527	19166	15333.12	30666.24
134	121	0.626174	4791	3833.28	7666.56
134	133	0.313054	9583	7666.56	15333.12
135	202	0.817439	3670	2936.47	5872.944
135	203	0.449573	6673	5339.04	10678.08
136	124	0.259	11583	9267.05	18534.096
136	243	0.2331	12870	10296.72	20593.44
137	138	1.4985	2002	1601.71	3203.424
137	150	1.79856	1668	1334.76	2669.52
137	203	0.749251	4004	3203.42	6406.848
138	137	1.4985	2002	1601.71	3203.424
138	139	0.561903	5339	4271.23	8542.464
139	138	0.561903	5339	4271.23	8542.464
139	140	0.112381	26695	21356.16	42712.32
140	139	0.112381	26695	21356.16	42712.32
140	141	0.0971188	30890	24712.13	49424.256
140	245	0.116546	25741	20593.44	41186.88
140	246	0.174815	17161	13728.96	27457.92
141	140	0.0971188	30890	24712.13	49424.256
141	142	0.0971188	30890	24712.13	49424.256
142	141	0.0971188	30890	24712.13	49424.256
142	143	0.0329323	91096	72876.96	145753.92
142	244	0.0475685	63067	50453.93	100907.856
143	142	0.0329323	91096	72876.96	145753.92
143	144	0.0373232	80379	64303.20	128606.4
143	155	0.0248822	120568	96454.80	192909.6
143	172	0.047647	62963	50370.84	100741.68
143	307	0.0447882	66982	53586.00	107172
144	143	0.0373232	80379	64303.20	128606.4
144	145	0.030468	98464	78771.42	157542.84
144	304	0.0746473	40189	32151.60	64303.2
144	306	0.0622058	48227	38581.92	77163.84
145	144	0.030468	98464	78771.42	157542.84
145	146	0.030468	98464	78771.42	157542.84
145	304	0.0457024	65642	52514.28	105028.56
145	305	0.0861326	34830	27864.72	55729.44
146	145	0.030468	98464	78771.42	157542.84
146	147	0.0306767	97794	78235.56	156471.12
146	175	0.0895763	33491	26793.00	53586
146	302	0.0471453	63633	50906.70	101813.4
147	146	0.0306767	97794	78235.56	156471.12
147	148	0.0121048	247835	198268.20	396536.4
147	175	0.0235727	127266	101813.40	203626.8
147	301	0.0486831	61623	49299.12	98598.24
147	302	0.0215327	139323	111458.88	222917.76
148	147	0.0121048	247835	198268.20	396536.4
148	149	0.0710934	42198	33759.18	67518.36
148	297	0.0520797	57604	46083.96	92167.92
149	148	0.0710934	42198	33759.18	67518.36
149	287	0.0207351	144682	115745.76	231491.52
150	137	1.79856	1668	1334.76	2669.52
150	151	0.399574	7508	6006.42	12012.84
151	150	0.399574	7508	6006.42	12012.84
151	152	0.29756	10082	8065.76	16131.528
151	156	0.342036	8771	7017.02	14034.048
152	151	0.29756	10082	8065.76	16131.528
152	153	0.215162	13943	11154.78	22309.56
153	152	0.215162	13943	11154.78	22309.56
153	154	0.139854	21451	17161.20	34322.4
154	153	0.139854	21451	17161.20	34322.4
154	155	0.056392	53199	42559.78	85119.552
154	157	0.139854	21451	17161.20	34322.4
154	246	0.184015	16303	13042.51	26085.024
155	143	0.0248822	120568	96454.80	192909.6
155	154	0.056392	53199	42559.78	85119.552
155	170	0.0613535	48897	39117.78	78235.56
155	246	0.116546	25741	20593.44	41186.88
156	151	0.342036	8771	7017.02	14034.048
156	160	0.699301	4290	3432.24	6864.48
157	154	0.139854	21451	17161.20	34322.4
157	167	0.699301	4290	3432.24	6864.48
157	168	0.139854	21451	17161.20	34322.4
158	167	0.699301	4290	3432.24	6864.48
158	251	0.27972	10725	8580.60	17161.2
159	168	0.152014	19735	15788.30	31576.608
159	249	0.0896486	33464	26771.47	53542.944
160	156	0.699301	4290	3432.24	6864.48
160	161	1.4985	2002	1601.71	3203.424
160	176	1.12402	2669	2135.62	4271.232
161	160	1.4985	2002	1601.71	3203.424
161	162	1.12402	2669	2135.62	4271.232
162	161	1.12402	2669	2135.62	4271.232
162	163	0.691722	4337	3470.38	6940.752
163	162	0.691722	4337	3470.38	6940.752
163	164	0.174571	17185	13748.03	27496.056
164	163	0.174571	17185	13748.03	27496.056
164	165	0.32694	9176	7341.18	14682.36
164	204	0.2331	12870	10296.72	20593.44
165	164	0.32694	9176	7341.18	14682.36
165	166	0.199787	15016	12012.84	24025.68
166	165	0.199787	15016	12012.84	24025.68
166	167	0.333	9009	7207.70	14415.408
167	157	0.699301	4290	3432.24	6864.48
167	158	0.699301	4290	3432.24	6864.48
167	166	0.333	9009	7207.70	14415.408
167	168	0.179813	16684	13347.60	26695.2
168	157	0.139854	21451	17161.20	34322.4
168	159	0.152014	19735	15788.30	31576.608
168	167	0.179813	16684	13347.60	26695.2
168	169	0.137112	21880	17504.76	35009.52
169	168	0.137112	21880	17504.76	35009.52
169	170	0.0928793	32300	25840.36	51680.72
170	155	0.0613535	48897	39117.78	78235.56
170	169	0.0928793	32300	25840.36	51680.72
170	171	0.0397135	75541	60433.10	120866.2
170	248	0.0287103	104492	83594.16	167188.32
171	170	0.0397135	75541	60433.10	120866.2
171	172	0.383926	7814	6251.70	12503.4
171	247	0.0344523	87077	69661.80	139323.6
172	143	0.047647	62963	50370.84	100741.68
172	171	0.383926	7814	6251.70	12503.4
172	173	0.0928793	32300	25840.36	51680.72
173	172	0.0928793	32300	25840.36	51680.72
173	174	0.0895763	33491	26793.00	53586
173	247	0.0242098	123917	99134.10	198268.2
173	304	0.117864	25453	20362.68	40725.36
174	173	0.0895763	33491	26793.00	53586
174	175	0.0219549	136644	109315.44	218630.88
174	304	0.179158	16745	13396.50	26793
175	146	0.0895763	33491	26793.00	53586
175	147	0.0235727	127266	101813.40	203626.8
175	174	0.0219549	136644	109315.44	218630.88
176	160	1.12402	2669	2135.62	4271.232
176	178	0.408664	7341	5872.94	11745.888
177	205	0.691722	4337	3470.38	6940.752
177	250	0.0466171	64354	51483.60	102967.2
178	176	0.408664	7341	5872.94	11745.888
178	182	0.310013	9677	7741.61	15483.216
179	180	0.580046	5172	4137.76	8275.512
179	207	0.24975	12012	9610.27	19220.544
180	179	0.580046	5172	4137.76	8275.512
180	211	0.513787	5839	4671.66	9343.32
181	182	0.408664	7341	5872.94	11745.888
181	189	0.4662	6435	5148.36	10296.72
182	178	0.310013	9677	7741.61	15483.216
182	181	0.408664	7341	5872.94	11745.888
182	183	0.134186	22357	17885.78	35771.568
183	182	0.134186	22357	17885.78	35771.568
183	184	0.179813	16684	13347.60	26695.2
184	183	0.179813	16684	13347.60	26695.2
184	213	0.817439	3670	2936.47	5872.944
185	7	0.699301	4290	3432.24	6864.48
186	9	0.34965	8580	6864.48	13728.96
186	228	0.0437037	68644	54915.84	109831.68
187	10	0.699301	4290	3432.24	6864.48
187	226	0.0317844	94386	75509.28	151018.56
188	12	0.174815	17161	13728.96	27457.92
189	181	0.4662	6435	5148.36	10296.72
189	190	0.411353	7293	5834.81	11669.616
190	189	0.411353	7293	5834.81	11669.616
190	193	0.34965	8580	6864.48	13728.96
191	209	2.24888	1334	1067.81	2135.616
191	213	1.2848	2335	1868.66	3737.328
192	208	1.99867	1501	1201.28	2402.568
192	212	1.5544	1930	1544.51	3089.016
193	190	0.34965	8580	6864.48	13728.96
193	220	0.25428	11798	9438.66	18877.32
194	68	0.399574	7508	6006.42	12012.84
194	69	0.168501	17804	14243.80	28487.592
195	38	1.25892	2383	1906.80	3813.6
195	50	1.57398	1906	1525.44	3050.88
196	50	3.14795	953	762.72	1525.44
196	60	1.85185	1620	1296.62	2593.248
197	69	0.537924	5577	4461.91	8923.824
197	72	0.368053	8151	6521.26	13042.512
198	109	0.2331	12870	10296.72	20593.44
198	124	0.34965	8580	6864.48	13728.96
199	99	0.263875	11369	9095.44	18190.872
199	109	1.5544	1930	1544.51	3089.016
200	87	0.27972	10725	8580.60	17161.2
201	98	3.93701	762	610.18	1220.352
201	108	0.310013	9677	7741.61	15483.216
202	122	2.62238	1144	915.26	1830.528
202	135	0.817439	3670	2936.47	5872.944
203	135	0.449573	6673	5339.04	10678.08
203	137	0.749251	4004	3203.42	6406.848
204	164	0.2331	12870	10296.72	20593.44
204	251	0.0822662	36467	29174.04	58348.08
205	177	0.691722	4337	3470.38	6940.752
205	206	0.777001	3861	3089.02	6178.032
206	205	0.777001	3861	3089.02	6178.032
206	207	0.635728	4719	3775.46	7550.928
207	179	0.24975	12012	9610.27	19220.544
207	206	0.635728	4719	3775.46	7550.928
208	192	1.99867	1501	1201.28	2402.568
208	209	0.368053	8151	6521.26	13042.512
209	191	2.24888	1334	1067.81	2135.616
209	208	0.368053	8151	6521.26	13042.512
209	210	0.561903	5339	4271.23	8542.464
210	209	0.561903	5339	4271.23	8542.464
210	211	0.899281	3336	2669.52	5339.04
211	180	0.513787	5839	4671.66	9343.32
211	210	0.899281	3336	2669.52	5339.04
212	192	1.5544	1930	1544.51	3089.016
212	214	0.777001	3861	3089.02	6178.032
213	184	0.817439	3670	2936.47	5872.944
213	191	1.2848	2335	1868.66	3737.328
214	212	0.777001	3861	3089.02	6178.032
214	215	0.777001	3861	3089.02	6178.032
215	214	0.777001	3861	3089.02	6178.032
215	216	0.101341	29603	23682.46	47364.912
216	215	0.101341	29603	23682.46	47364.912
216	217	0.166491	18019	14415.41	28830.816
217	216	0.166491	18019	14415.41	28830.816
217	218	0.411353	7293	5834.81	11669.616
218	217	0.411353	7293	5834.81	11669.616
218	219	0.34965	8580	6864.48	13728.96
219	4	0.147218	20378	16303.14	32606.28
219	218	0.34965	8580	6864.48	13728.96
220	0	0.559493	5362	4290.30	8580.6
220	193	0.25428	11798	9438.66	18877.32
221	224	0.27972	10725	8580.60	17161.2
221	256	0.399574	7508	6006.42	12012.84
222	18	0.137112	21880	17504.42	35008.848
222	256	0.285415	10511	8408.99	16817.976
223	17	0.189274	15850	12680.22	25360.44
223	19	0.366972	8175	6540.32	13080.648
224	24	0.102831	29174	23339.23	46678.464
224	221	0.27972	10725	8580.60	17161.2
224	229	0.0874075	34322	27457.92	54915.84
225	41	0.368053	8151	6521.26	13042.512
225	230	0.0728403	41186	32949.50	65899.008
226	12	0.0317844	94386	75509.28	151018.56
226	187	0.0317844	94386	75509.28	151018.56
226	227	0.0317844	94386	75509.28	151018.56
227	30	0.0629617	47648	38118.96	76237.92
227	226	0.0317844	94386	75509.28	151018.56
227	228	0.0813096	36896	29517.26	59034.528
227	255	0.0998934	30032	24025.68	48051.36
228	186	0.0437037	68644	54915.84	109831.68
228	227	0.0813096	36896	29517.26	59034.528
228	229	0.0592593	50625	40500.43	81000.864
